,FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,,,!!! NOTE!!!
,MANDY FOODS,Salata de varza cu morcov,Coleslaw with carrots (jar),680 g,"18,-",,5 941863 003911,,
,ALIMENT EXPERT,Compot de prune,Plum compote (big jar),720 g,"22,-",,5 941863 000682,,
,FRAVIL ,Compot de cirese,Cherry compote (big jar),720 g,"22,-",,5 941863 000439,,
,FRAVIL,Gem de visine,Sour cherry jam,300g,"15,-",,5 941334 007394,,
,RAURENI,Gogosari umpluti cu conopida,Pepper stuffed with cauliflower (big jar),1600 g,"40,-",,6 426238 950018,,
,RAURENI,"Gem asortat de prune , piersici, caise, mere, pere",Mixed jam ,370g,"15,-",,5 941865 004800,,
,FRAVIL,Gem de piersici,Apricot jam,370g,"15,-",,5 941865 000727,,
,CEGUSTO,Compot de caise,Peach jam,720g,"22,-",,5 941028 000144,,
,SAHA PRIMA,Compot de struguri,Grape jam,720g,"25,-",,5 941028 000274,,
,SAHA PRIMA,Compot de piersici intregi nedepilate,Jam of integral unpealed apricot,700g,"18,-",,5 941865 000574,,
,SAHA PRIMA,Compot de visine,Sour cherry jam,720g,"22,-",,5 941863 000767,,
,OLYMPIA,Ardei capia decojit,Pealed paprika,980 g,"25,-",,8 697400 272568,,
,RAURENI,Gogosari in otet,Paprika in vinegar,1 kg,"25,-",,8 697400 272070,,
,RAURENI,Ardei iute in otet,Hot peppers in vinegar,370 ml,"15,-",,8 697400 271639,,
,RAURENI,Bors,Bors,1 l,"15,-",,5 941466 014611,,
,FRAVIL,Otet de mere cu miere,Apple vinegar with honey,500 ml,"15,-",,5 941028 008089,,
,FRAVIL,Otet de visine,Sour cherry vinegar,500 ml,"15,-",,5 941028 008065,,
,FRAVIL,Otet din vin alb,White wine vinegar,1 l,"15,-",,5 941028 111048,,
,FRAVIL,Mancare de fasole,Beans stew,300 g,"15,-",,5 941865 000420,,
,RAURENI,Tocana de legume,Vegetable mix,300 g,"15,-",,5 942865 000444,,
,RAURENI,Fasole galbena – pastai in saramura,Yellow beans in saramura,720 g,"18,-",,5 941865 001724,,
,RAURENI,Spanac in saramura,Spinach in saramura,700 g,"18,-",,5 941865 001137,,
,RAURENI,Conopida in otet,Cauliflower in vinegar,700 g,"23,-",,5 941028 002537,,
,RAURENI,Zarzavat de ciorba,Vegetables for soup,700 g,"20,-",,5 941028 001929,,
