,FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,,,!!! NOTE!!!
,CRIS-TIM,Costita afumata extra,Smoked ribs,-,"100,- / Kg",,NO BC ON PRODUCT,,
,CRIS-TIM,Jumari de porc,Pork cracklings,200g,"22,-",,,,
,CRIS-TIM,Leber,Leber,,"19,-",,,,
,CRIS-TIM,Caltabos,Caltabos ,,"19,-",,,,
,CRIS-TIM,Slanina afumata,Smoked bacon,-,"75,- / Kg",,NO BC ON PRODUCT,,
,,Categorie PATE,Category PATE,,,,,,
,MANDY FOODS,Bucegi - pate de pui,Bucegi - Chicken pate,100 g,"8,-",,,,
,MANDY FOODS,Bucegi - pate de porc,Bucegi - Pork pate,200 g,"16,-",,,,
,MANDY FOODS,Sadu - pate de porc,Sadu - Porc pate,300 g,"19,-",,,,
,MANDY FOODS,Pate vegetal original,Original vegetal pate,120 g,"8,-",,5 941334 002122,,
,MANDY FOODS,Pate vegetal original,Original vegetal pate,200 g,"12,-",,5 941334 000968,,
,MANDY FOODS,Pate vegetal cu masline,Vegetal pate with olives,120 g,"8,-",,5 941334 002207,,
,MANDY FOODS,Pate vegetal cu masline,Vegetal pate with olives,200 g,"12,-",,5 941334 002214,,
,MANDY FOODS,Pate vegetal cu spanac,Vegetal pate with spinach,120 g,"8,-",,5 941334 002221,,
,MANDY FOODS,Pate vegetal cu spanac,Vegetal pate with spinach,200 g,"12,-",,5 941334 002238,,
,MANDY FOODS,Pate vegetal cu ciuperci,Vegetal pate with mushrooms,120 g,"8,-",,5 941334 002184,,
,MANDY FOODS,Pate vegetal cu ciuperci,Vegetal pate with mushrooms,200 g,"12,-",,5 941334 002191,,
,MANDY FOODS,Pate vegetal cu ardei gras,Vegetal pate with sweet pepper,120 g,"8,-",,5 941334 003501,,
,MANDY FOODS,Pate vegetal cu ardei gras,Vegetal pate with sweet pepper,200 g,"12,-",,5 941334 003518,,
,MANDY FOODS,Pate de porc (picant),Pork pate (spicy),200 g,12.-,,,,
,MANDY FOODS,Pate de porc (picant),Pork pate (spicy),120 g,"8,-",,5 941334 001873,,
,MANDY FOODS,Retete Libaneze - Hummus cu Tahini,Lebanese Recipes - Hummus with Tahini,200 g,"12,-",,5 941334 005482,,
,MANDY FOODS,Pate ton,Tuna pate,145 g,"15,-",,5 941334 007905,,
,MANDY FOODS,Pate macrou,Makrel pate,145 g ,"15,-",,5 941334 007912,,
,BUCEGI,Pate somon,Salmon pate,145 g,"15,-",,5 941334 007899,,
,SCANDIA SIBIU,Pate de pui,Chicken pate,200 g,"12,-",,5 941334 000036,,
,CRIS-TIM,Pate de pui,Chicken pate,120 g,"8,-",,5 941334 001866,,
,CRIS-TIM,Pate de porc ,Pig pate,110 g,"10,-",,5 941341 000050,,
,MANDY FOODS,Pate de pui integral,Integral chicken pate,120 g,"12,-",,5 941341 002283,,
,MANDY FOODS,Produs vegetal tartinabil cu ceapa verde,Spreadable and vegetable cream with spring onion,150 g,"15,-",,,,
,,Categorie ZACUSCA,Category VEGETABLE STEW,,,,,,
,RAURENI,Zacusca picanta,Spicy stew,300 g,"17,-",,5 941334 000609,,
,RAURENI,Zacusca cu ciuperci,Mushrooms stew,300 g,"17,-",,5 941334 000623,,
,RAURENI,Zacusca taraneasca,Rustic stew,300 g,"17,-",,5 941334 002818,,
,CONSERVFRUCT,Zacusca traditionala,Traditional stew,300 g,"17,-",,5 941334 000593,,
