,Махеевь,Майонез с перепелиным яйцом,Mayonnaise with quail eggs,380g,23.00,,4604248003081
,Махеевь,Майонез оливковый,Olive mayonnaise,400ml,20.00,,4604248000844
,Махеевь,Майонез сметанный,Sour cream mayonnaise,770g,37.00,,4604248014124
,,КЕТЧУП/ ТОМАТНАЯ ПАСТА,KETCHUP/ TOMATOE PUREE,WEIGHT,PRICE,,BARCODE
,Чумак,Кетчуп томатный,Tomato ketchup,300g,10.00,,4820001352979
,Чумак,Кетчуп томатный,Tomato ketchup,450g,15.00,,4820001357936
,Чумак,Кетчуп чили,"Ketchup, hot",300g,10.00,,4820001355840
,Чумак,Паста томатна 25%,Tomatoe puree 25% ,70g,6.00,,4820001352801
,,АДЖИКА,ADJIKA,WEIGHT,PRICE,,BARCODE
,Тещины рецепты,Аджика пикантная,"Adjika, hot",300g,16.00,,4260099272016
,Тещины рецепты,Аджика острая с чесноком,"Adjika with garlic, hot",300g,16.00,,4260099272030
,H&B,Аджика домашняя,Home adjika,550g,39.00,,4260010127982
,Deroni,Аджика домашняя,Home adjika,350g,16.00,,3800740011116
,,ХРЕН,HORSERADISH,WEIGHT,PRICE,,BARCODE
,Махеевь,Хрен столовый,Table horseradish,190g,12.00,,4604248012601
,Тещины рецепты,Хрен с красной свеклой,Horseradish with beetroot,180g,12.00,,4260099272047
,H&B,Хрен со свеклой,Horseradish with beetroot,180g,12.00,,5906245444546
,H&B,Хрен крепкий,"Horseradish, hot",180g,12.00,,5906245444539
,,ЛЕЧО,LECHO,WEIGHT,PRICE,,BARCODE
,Сядко,Лечо по болгарски,Bulgarian lecho,680g,18.00,,4260305240198
,,ПРИПРАВА,SPICES,WEIGHT,PRICE,,BARCODE
,Avokado,Приправа Азербайджанская,Spices / Azerbaijan style,210g,22.00,,8595012061184
,Avokado,Приправа для шашлыка,Spices for shashlik,179g,22.00,,8595012061160
,Avokado,Приправа Грузинская,,170g,22.00,,8595012061191
,Avokado,Приправа Армянская,,170g,22.00,,8595012061177
,Avokado,Приправа для рыбы,,200g,22.00,,8595012061061
,Avokado,Приправа аппетитная,,220g,22.00,,8595012061122
,Alex produkte,Лавровый лист,,50g,15.00,,40100630
,Alex produkte,Кинза сушёная,,30g,12.00,,40120171
,Alex produkte,Кинза кориандер целый,,100g,12.00,,40120140
,Alex produkte,Имбирь,,75g,15.00,,40500850
,Alex produkte,Чиа семена,,200g,39.00,,40500935
,Alex produkte,"Перец душистый, горошек",,50g,15.00,,40000251
,Alex produkte,Чеснок гранулированый,,50g,12.00,,40100579
,Alex produkte,Чабрец садовый,,50g,15.00,,40100692
,Alex produkte,Черемша Джусай,,30g,20.00,,41100691
,Alex produkte,Корица молотая,,100g,20.00,,40101200
,Alex produkte,Хмели сунели,,75g,12.00,,40880624
,Alex produkte,Тмин чёрный цельный,,75g,15.00,,40193403
,Alex produkte,Мята перечная ,,50g,15.00,,40500058
,Alex produkte,Вегета универсальная приправа,,250g,20.00,,40103327
,Alex produkte,Приправа для малосольных огурчиков,,50g,15.00,,40500317
,Alex produkte,Приправа для жарки рыбы,,100g,15.00,,40990644
,Alex produkte,Крапива двудомная,,50g,15.00,,40500478
,Aroma bona,Семечки подсолнуха (очищеные),,500g,20.00,,4779022488856
,Aroma bona,Приправа для пельменей,,25g,5.00,,4779022481130
,Aroma bona,Приправа для борща,,25g,5.00,,4779022482960
,Aroma bona,Приправа для плова,,25g,5.00,,4779022481093
,Aroma bona,Приправа для моркови по-корейски,,25g,5.00,,4779022480959
,Беларуськалий,Соль каменная поваренная пищевая,,1kg,9.00,,4811005000201
,Мозырьсоль,Соль поваренная пищевая,,1kg,9.00,,4810023000149
,Мозырьсоль,Соль йодированная поваренная пищевая,,1kg,9.00,,4810023000156
,,ЧАЙ/ КОФЕ,TEA/ COFFEE,WEIGHT,PRICE,,BARCODE
,Майский,"Чай ""Отборный Цейлон""",,100g,29.00,,4607051151321
,Майский,"Чай ""Отборный Цейлон"" (25 пакетиков)",,50g,18.00,,4607051151345
,Принцесса Нури,"Чай ""Высокогорый"" листовый",,250g,28.00,,4605246002441
,Принцесса Нури,Чай Высокогорный (в пакетиках),,200g,45.00,,4605246002014
,Принцесса Нури,Чай отборный,,200g,45.00,,4605246003271
,Принцесса Ява,"Чай ""Жасмин"".Китайский зелёный чай с ароматом жасмина",,100g,20.00,,4605246001888
,Seve,Растворимый цикорий с черникой (порошок),,100g,30.00,,4740506100380
,,СГУШЁННОЕ МОЛОКО,CONDENCED MILK,WEIGHT,PRICE,,BARCODE
,Ваш продукт,Молоко сгушённое варёное,,397g,22.00,,4260352190507
,,Молоко сгушённое,,397g,17.00,,4260244871224
,,Молоко сгущенное цельное Ромашка,,397g,17.00,,5906245444676
,Leon GmbH,Молоко сгущенное Леонка цельное с сахаром,,397g,17.00,,4260127122283
,Ностальгия,Карамелизированный сгущенный молочный продукт с сахаром,,397g,17.00,,4771173209458
,,Сгущенка,,250g,15,,4740502002176
,,Сгущенное молоко с сахаром и какао,,250g,17,,4740502020392
,,Сгущенное молоко с сахаром,,250g,15,,4740502002084
,,ВАРЕНЬЕ/ ДЖЕМ,JAM,Kg,DKK,,ESN code
,Тещины рецепты,Варенье из клубники домашнее,,340g,20.00,,4260099275567
,Ратибор,Варенье клюква,,400g,29.00,,4601842001994
,От Маруси,Варенье из зеленых грецких орехов,,680g,39.00,,4840022002288
,ALCOHOL DRINKS,,,,,,
,,ПИВО,BEER (pant price is NOT included),l,DKK,PANT,ESN code
,Baltika Breweries,"Пиво BALTIKA EXPORT NO 7 5,4% alk","Beer BALTIKA EXPORT NO 7 5,4% alc",1l,17.00,3.00,4600682001522
,,ВОДКА,VODKA,l,DKK,,ESN code
,Белалко,Водка Дикая Утка Особая (Wild Duck Vodka – special),"Vodka ""Дикая Утка Особая"" (""Wild Duck Special"")","0,7l",150.00,,4810030009500
,Белалко,Водка Дикая Утка (Wild Duck Vodka),"Vodka ""Дикая Утка"" (""Wild Duck"")","0,7l",140.00,,4810030009494
,,Водка Русский Стандарт Platinum (Russian Standard Vodka – Platinum),"Vodka ""Русский Стандарт Platinum"" (""Russian Standart Platinum"")","0,7l",150.00,,4603400000180
,,Водка Русский Стандарт Gold (Russian Standard Vodka – Gold),"Vodka ""Русский Стандарт Gold"" (""Russian Standart Gold"")","0,7l",135.00,,4603400001026
,,Водка Русский Стандарт,"Vodka ""Русский Стандарт""",0.7l,125.00,,4603400000043
,Topaz Distillery,Водка Зелёная Марка (Green Mark Vodka),"Vodka ""Зелёная Марка"" (""Green Mark Vodka"")","1,0l",150.00,,4600893900812
,,БРЕНДИ,BRANDY,l,DKK,,ESN code
,Yerevan Brandy Company,Бренди ARARAT 3-ёхлетний,Ararat – 3 years,"0,5l",140.00,,4850001001904
,Yerevan Brandy Company,Бренди ARARAT 5-илетний,Ararat – 5 years,"0,5l",150.00,,4850001001935
,Yerevan Brandy Company,Бренди ARARAT 6-илетний,Ararat – 6 years,"0,5l",160.00,,4850001001966
,Yerevan Brandy Company,Бренди ARARAT 10-илетний,Ararat – 10 years,"0,5l",200.00,,4850001002024
,Yerevan Brandy Company,Бренди ARARAT 10-илетний Reserve,Ararat – 10 years Reserve,0.5l,799.00,,
,Yerevan Brandy Company,Бренди ARARAT 20-илетний,Ararat – 20 years,0.5l,499.00,,
,,ВИНО (КРАСНОЕ),WINE (RED),l,DKK,,ESN code
,Armenia,"Красное вино, сухое, 2011, 12.5% алк (Армения)","Red wine, dry,  2011, 12.5% alc (Armenia)",0.75,85.00,,4850008150094
,Marani,"Красное вино Kindzmarauli, 2014, 11.5% алк (Грузия)","Red wine Kindzmarauli, 2014, 11.5% alc (Georgia)",0.75,89.00,,4867616020091
,Marani,"Красное вино Saperavi, сухое, 13.5% алк (Грузия)","Red wine Saperavi, dry, 13.5% alc (Georgia)",0.75,72.00,,4867616020053
,Marani,"Красное вино Telavuri, сухое, 12.5% алк (Грузия)","Red wine Telavuri, dry, 12.5% alc (Georgia)",0.75,59.00,,4867616060400
,Marani,"Красное вино Satrapezo saperavi, сухое, 2013, 14.5% алк (Грузия)","Red wine Satrapezo Saperavi, dry, 2013, 14.5% alc (Georgia)",0.75,189.00,,4867616080347
,Marani,"Красное вино Saperavi, сухое, 14.5% алк (Грузия)","Red wine Saperavi, dry, 14.5% alc (Georgia)",0.75,89.00,,4867616020657
,Marani,"Красное вино Khvanchkara, полу- сладкое, 2014, 11.5% алк (Грузия)","Red wine Khvanchkara, medium sweet, 2014, 11.5% alc (Georgia)",0.75,89.00,,4867616020244
,,ВИНО (РОЗОВОЕ),WINE (ROSE),l,DKK,,ESN code
,Marani,"Розовое вино Saperavi Rose, сухое, 12.5% алк (Грузия)","Rose wine Saperavi Rose, dry, 12.5% alc (Georgia)",0.75,75.00,,4867616020343
,,ВИНО (БЕЛОЕ),WINE (WHITE),l,DKK,,ESN code
,Armenia,"Белое вино, сухое, 2012, 14% алк (Армения)","White wine, dry, 2012, 14% alc (Armenia)",0.75,85.00,,4850008150100
,Marani,"Белое вино Kondoli Mtsvane- kisi, 2013, 13.5% алк (Грузия)","White wine Kondolo Mtsvane- kisi, 2013, 13.5% alc (Georgia)",0.75,95.00,,4867616100045
,Marani,"Белое вино Mtsvane, сухое, 12.5% алк (Грузия)","White wine Mtsvane, dry, 12.5% alc (Georgia)",0.75,65.00,,4867616020220
,Marani,"Белое вино Telavuri, сухое, 12.5% алк (Грузия)","White wine Telavuri, dry, 12.5% alc (Georgia)",0.75,57.00,,4867616060370
,NON ALCOHOL DRINKS,,,,,,
,,НАПИТКИ,,l,DKK,PANT,ESN code
,Садочок,Яблоко клюква черхоплодная рябина,Apple-Cranberry-Chokeberry juice drink,"0,95l",15.00,1.00,4823063110051
,Напитки из Черноголовки,Напиток безалкогольный – Тархун,,"1,0l",17.00,3.00,4602441000081
,Напитки из Черноголовки,Напиток безалкогольный – Байкал,,"1,0l",17.00,3.00,4602441000067
,Напитки из Черноголовки,Напиток безалкогольный – Дюшец,,"1,0l",17.00,3.00,4602441000609
,Напитки из Черноголовки,Напиток безалкогольный – Крюшон,,"1,0l",17.00,3.00,4602441011339
,,СОК,JUICE,L,DKK,,ESN code
,,Сок гранатовый (азербайджанский гранат),,1 l,35.00,,4620755450040
,,КВАС,KVASS (pant price is NOT included),l,DKK,PANT,ESN code
,Ochakovo,"Квас ""Очаковский"" ",Kvass Ochakovskiy,2 l,27.00,3.00,4600068009043
,Ochakovo,"Квас ""Очаковский"" ",Kvass Ochakovskiy,1 L,,3.00,4600068009005
,BORODINSKIJ,Kvasa dzēriens,Kvas drink,3L,32.00,3.00,4750099523404
,GUTTA,Rigas kvass,Rigas kvas,"0,5L",11.50,1.50,4750009942424
,GUTTA,Rigas kvas dzeriens,,1.5l,17.00,3.00,4750009913455
,CIDO grupa,"Kvass ""Livu"" (nefiltrets)",Livu kvas,1.5L,17.00,3.00,4750132002101
,CIDO grupa,Senču kvasam,,"1,5L",17.00,3.00,4750042201441
,IĻĢUCIEMS,Dzēriens Veselība,Health drink,"1,5L",17.00,3.00,
,IĻĢUCIEMS,Kvass,Kvas,500ml,11.50,1.50,4750239577717
,IĻĢUCIEMS,Kvass Iļģuciems,Kvas,"1,5L",17.00,3.00,4750239577724
,ULMAŅLAIKU,Kvass,Kvas,"1,5L",15.00,3.00,4750142105137
,ULMAŅLAIKU KVASS,Kvass,Kvas,568ml,11.50,1.50,4750142105281
,Švyturys,Salyklo gira skardinėje ,Kvass in tin “Salyklo” ,0.5,11.00,1.00,4770349225780
,Gubernija,Duonos gira skardinėje ,Bread Kvass in tin ,0.5,12.00,1.00,4770395222061
,Gubernija,Duonos gira stikliniuose Buteliuose ,Bread Kvass in glass,0.33,11.00,1.00,4770395222047
,Gubernija,GIRA RUGILĖ plast.but ,Kvass RUGILĖ in plastic bottle ,1.5,17.00,3.00,4770395226694
,Gubernija,GIRA RUGILĖ plast.but ,Kvass RUGILĖ in plastic bottle,0.75,"12,50",1.50,4770395226700
,Volfas Engelman,Smetoniška Gira ,Kvass SMETONIŠKA,"1,5",17.00,3.00,4770301221621
,FROZEN PRODUCTS,,,,,,
,,ПЕЛЬМЕНИ,,Kg,DKK,,ESN code
,Best Time,Пельмени Сибирские,,1000g,57.00,,4250239103645
,Best Time,Пельмени Домашние,,1000g,57.00,,4250239103638
,UVIC,Иван – Пельмени казанские без свинины,,500g,30.00,,4740223001595
,UVIC,Иван – Пельмени рязанские,,500g,30.00,,4740223001540
,UVIC,Иван – Пельмени полтавские с чесноком,,500g,30.00,,4740223001502
,UVIC,Иван- Пельмени рязанские,,2000 g (2kg),90.00,,4740223001441
,JUDEX,"Пельмени ""Сказка""",,800g,45.00,,4770274485235
,Judex,"""Dzūkų"" koldūnai su mėsa (KLASICHESKIE)",,400g,27.00,,
,Judex,Koldūnai su vištienos blaudelių mėsa,,500g,30.00,25.00,4770274485105
,Judex,Koldūnai su jautienos įdaru,,1 kg,57.00,,4770274194229
,Judex,"""Pikantiški"" koldūnai",,500g,35.00,,
,Judex,“Kaimiški” koldūnai su mėsos įdaru,,1 kg,45.00,35.00,4770274193604
,Judex,"""Kauno"" koldūnai",,500g,30.00,,
,Judex,"""Bajorų"" koldūnai",,400g,30.00,,
,Judex,"""Studentiški"" koldūnai",,1 kg,45.00,40.00,4770274191334
,Judex,"""Močiutės"" koldūnai",,300g,22.00,,
,Judex,“Sibirietiški” koldūnai,,500g,30.00,25.00,4770274483477
,Judex,“Sibirietiški” koldūnai,,2 kg ,110.00,90.00,4770274483484
,Judex,“Tradiciniai” koldūnai su mėsos įdaru (su vištiena),,500g,30.00,,4770274483415
,Judex,“Ukrainietiški” koldūnai su mėsos įdaru (su jautiena ir kiauliena),,500g,30.00,,4770274483392
,Judex,“Kaimiški” koldūnai su mėsos įdaru (su vištiena),,500g,30.00,20.00,4770274482531
,Judex,“Vanka” koldūnai sibirietiški,,2 kg ,110.00,90.00,4770274482647
,Judex,Koldūnai su kiauliena ,,1.75 kg,100.00,90.00,4770274484283
,Judex,"Koldūnai ""Mamos"" su mėsos įdaru",,"1,75 kg",90.00,,4770274483972
,Judex,"Koldūnai ""Liux"" su kiaulienos įdaru",,"1,75 kg",90.00,,4770274484283
,Judex,“Uralskie” koldūnai,,500g,30.00,,
,Judex,“Sibirskie” koldūnai,,400g,27.00,28.00,4770274482999
,Judex,“Russkie” koldūnai,,400g,27.00,28.00,4770274482975
,Judex,“Jubiliejiniai” koldūnai su kiauliena,,"0,5",35.00,,4770274485099
,Judex,“Elitnyje” koldūnai su jautiena ir vištiena,,1 kg,100.00,,4770274484382
,Judex,“Grafskije” koldūnai su vištiena,,1 kg,100.00,,4770274484320
,Judex,“Zastolnyje” koldūnai,,1 kg,100.00,,4770274485129
,Judex,"""Tėviškės"" koldūnai",,500g,20.00,,4770274192188
,Judex,“Skazka” koldūnai,,800g,45.00,,4770274485235
,Viči,"TRADITIONAL. Koldūnai su jautiena, termiškai apdoroti, šaldyti",,400g,35.00,,4770190077835
,Viči,"STYLE MODERN. Koldunai su vištiena, sūriu ir baravykais, termiškai apdoroti, šaldyti",,400g,30.00,,4770190077873
,Viči,"STYLE MODERN. Koldūnai su lašiša, šaldyti",,400g,30.00,,4770190077859
,Viči,"STYLE ASIAN. Koldūnai su aštriomis daržovėmis, termiškai apdoroti, šaldyti",,400g,30.00,,4770190078719
,Viči,"STYLE ASIAN. Koldūnai su daržovėmis, termiškai apdoroti, šaldyti",,400g,35.00,,4770190078702
,Viči,STYLE ASIAN. Koldūnai su daržovėmis ir kiauliena,,400g,30.00,,4770190078726
,Viči,Koldūnai su kauliena,,400g,30.00,,
,Viči,Koldūnai su kiauliena ir darzovėm,,400g,35.00,,
,Viči,Koldūnai su varške,,300g,25.00,,
,Viči,"Koldūnai su vištiena ir juodaisiais grybais ""Fungus""",Dumplings with chicken and black fungus,400g,40.00,,4770190092951
,Viči,Koldūnai su lašiša ir sūriu,Dumplings with salmon and cheese,400g,40.00,,?
,Liūtukas ir Ko,Koldūnai su avienos įdaru,,700g,30.00,,4770090195530
,Liūtukas ir Ko,Koldūnai su mėsos įdaru (naminiai),,500g,18.00,,4770090192010
,Liūtukas ir Ko,Koldūnai ypatingieji su mėsos įdaru,,700g,25.00,,4770090192881
,Liūtukas ir Ko,Koldūnai Karališkieji su mėsos įdaru,,800g,35.00,,4770090192775
,Liūtukas ir Ko,"Koldūnai ""Sim Sim"" su kalakutiena",,400g,19.00,,4770090196629
,Liūtukas ir Ko,"""Bogatyrskije"" koldūnai",,800g,32.00,,4770090193437
,Liūtukas ir Ko,"Koldūnai ""Gimtinės"" su mėsos įdaru","Frozen dumplings ""Homeland"" with meat stuffing",1 kg,30.00,,4770090193550
,Liūtukas ir Ko,Koldūnai XL su mėsos įdaru,Frozen dumplings XL with meat stuffing ,"1,5 kg",40.00,,4770090194076
,Liūtukas ir Ko,Ekologiški koldūnai su jautienos įdaru,Ecological dumplings with beef filling,400g,35.00,,4770090194670
,Liūtukas ir Ko,Ekologiški koldūnai su bulvių įdaru,Ecological dumplings with potato filling,400g,25.00,,4770090194694
,Liūtukas ir Ko,Ekologiški koldūnai su varškės įdaru,Ecological dumplings with curd filling,400g,35.00,,4770090194687
,Uvic,“Ivan” koldūnai su mėsos ir česnakų įdaru,,500g,30.00,,4740223001502
,ARIOLS,Pelmeņi ar vistas gaļu “Oto”,Dumplings with chicken “Oto”,400g,?,,4750499004831
,ARIOLS,Pelmeņi Bambino,Dumplings “Bambino”,1 kg,?,,4750499002455
,ARIOLS,"Pelmeni ""Mazuliski""",Dumplings “Mazuliški”,400g,?,,4750499002240
,ARIOLS,Pelmeni EKSPRESSO,Dumplings EKSPRESSO,2kg,?,,4750499001342
,DAERS,Pelmeni SUPER,Dumplings SUPER,2 kg,?,,4751000805510
,DAERS,Pelmeni SIBIRIEŠU GAUME,Dumplings SIBIRIEŠU GAUME,"2,5 kg",?,,4751000800171
,,ВАРЕНИКИ,,Kg,DKK,,ESN code
,UVIC,Иван – Вареники казанские с творогом,,500g,25.00,,4740223001571
,UVIC,Иван – Вареники рязанские с картошкой и грибами,,500g,25.00,,4740223001786
,UVIC,Иван – Вареники кубанские с вишней,,500g,25.00,,4740223001717
,JUDEX,Вареники с творогом и изюмом,,500g,?,,4770274484610
,,Вареники Елисей с картофелем и грибами,,500g,30.00,,4750499003650
,,КРАБОВЫЕ ПАЛОЧКИ,,Kg,DKK,,ESN code
,Эконом маркет,Крабовые палочки ,,100g,?,,4810168002749
,Санта Бремор,Крабовые палочки (замороженные),,200g,?,,4810168001933
,Viči,Classic. Krabų skonio lazdelės,"Classic. Crab taste sticks (from surimi, fast frozen)",100g,9.00,,4770190036085
,Viči,Classic. Krabų skonio lazdelės,"Classic. Crab taste sticks (from surimi, fast frozen)",240g,20.00,,4770190036108
,Viči,Krabų lazdelės,,300g,29.00,,4770190037082
,Viči,Krabų lazdelės,,150g,18.00,,4770190036115
,,ГРИБЫ,,,,,
,Вологодская ягода,Смесь лесных грибов Грибноe лукошко,,300g,40,,4607072907310
,Вологодская ягода,"Смесь лесных грибов, резаные ",,300g,40,,4607072901516
,Вологодская ягода,Грибы белые ,,300g,69,,4607072901202
,,ЯГОДЫ,,,,,
,Вологодская ягода,Брусника ,,300g,32,,4607072901158
,Вологодская ягода,Клюква садовая,,300g,27,,4607072903275
,Вологодская ягода,Облепиха,,300g,40,,4607072900151
,,ТОРТЫ/ ПИРОЖНОЕ,,,,,
,Roshen,Торт Золотые ворота,,500g,90,,4823077612350
,Roshen,Торт Капучино,,500g,90,,4823005308430
,Roshen,Торт Киевский,,500g,90,,4823005302797
,Roshen,Торт Киевский,,1 kg,170,,
,Roshen,Торт Cremolino,,1 kg,140,,4823077611889
,Roshen,Торт Chocolissimo,,1 kg,140,,4823077611872
,ЛюксТорт,Торт Аркадия,,1 kg,140,,4823007009854
,Mirel,Торт Крем- брюле,,750g,85,,4607029340986
,Mirel,Торт Снежность,,800g,140,,4607029348197
,Mirel,Торт Прага,,600g,105,,4660011130019
,Mirel,Торт Долче Вишня,,850g,115,,4607029343307
,Mirel,Торт 3 Schokoladen,,900g,150,,
,Mirel,Пирожное Муравейник,,420g,50,,4607029348166
,VH,Торт Киевский,,800g,140,,
,VH,Торт Коровка,,600g,55,,
,VH,Торт Наполеон,,500g,45,,
,VH,Торт Волшебный ключик,,550g,75,,
,VH,Торт Пломбирный ?,,950g,110,,
,VH,Торт Труфалдино,,600g,75,,
,VH,Торт Грильяжный,,800g,120,,
,VH,Торт Зорепад,,,110,,
,VH,Торт Медовый,,700g,60,,
,VH,Торт Медовый Premium,,600g,55,,
,Усладов,Тирамису,,750g,100,,4660011131054
,Усладов,Бисквитный торт Латте,,450g,50,,4820060763877
,Усладов,Торт Медовый,,600g,55,,4820060764621
,,Торт Перекладец с черносливом и орехами,,1.1 kg,110,,
,MILK PRODUCTS,,,,,,
,,ТВОРОГ,,Kg,DKK,,ESN code
,Н&В,Бабушкин творог полужирный – 15%,,470g,27.00,,2702584004709
,Н&В,Бабушкин творог жирный – 30%,,470g,28.00,,2702586004707
,Ole,Творог деревенский- 30%,,470g,29.00,,5903565000827
,Ole,Творог деревенский- 15%,,470g,27.00,,5903565000834
,Pieno žvaigždės,"Varškė DVARO, 9%",,250g,16.00,,4770265046681
,Pieno žvaigždės,Varškė DVARO liesa 0.5%,,250g,16.00,,4770265046698
,Pieno žvaigždės,Varškė DVARO 15%,,250g,20.00,,4770265046674
,Pieno žvaigždės,Varškė SVALIA liesa,,250g,16.00,,4770265046667
,Pieno žvaigždės,Varškė SVALIA 15%,,250g,20.00,,4770265046643
,Pieno žvaigždės,Varškė SVALIA 9%,,250g,16.00,,
,JAUNPILS PIENOTAVA,Biezpiens,Curd 9%,275g,16.00,14.00,4751004060021
,JAUNPILS PIENOTAVA,Biezpiens,Curd 5%,275g,16.00,14.00,4751004060625
,JAUNPILS PIENOTAVA,Biezpiens,"Curd 0,5%",275g,16.00,14.00,4751004060038
,JAUNPILS PIENOTAVA,Biezpiens,"Curd 0,5%",600g,30.00,,4751004060601
,JAUNPILS PIENOTAVA,Biezpiens,Curd 5%,600g,30.00,,47510040606332
,JAUNPILS PIENOTAVA,Biezpiens,Curd 9%,600g,30.00,,4751004060595
,,КЕФИР,,Kg,DKK,,ESN code
,Лучший выбор,"Кефир настоящий, 2%",,1 L,20.00,,4260010128729
,Лучший выбор,"Кефир настоящий, 3.5%",,330g,12,,4260010128163
,Лучшее из деревни,Кефир Кавказский домашний ,,600g,20,,4260010129368
,Pieno žvaigždės,"Kefyras 2,5% „Žemaitijos“",,500g,10.00,,4770299042017
,Pieno žvaigždės,"Kefyras 2,5% „Žemaitijos“",,1 L,16.00,,4770299042086
,Pieno žvaigždės,"Kefyras “Dvaro”, 3,2%",,1L,15.00,,4770265042911
,Pieno žvaigždės,"Kefyras “Dvaro”, 3,2%",,500ml,10.00,,4770265047206
,Baltais,Kefirs 2%,Kefir 2%,1 kg,12,,4750072020227
,,,,,,,
,Лучший выбор,"Ряженка, 3.5%",,330g,12,,4260010128170
,Pieno žvaigždės,Riaženka rauginto pieno gėrimas,,500g,12.00,,4770265042775
,Annele,"Rjaženka ar bifido bakterijam 3,2%",Rjaženka with bifido bacteria 3.2%,500g,12,,4770265043987
,,,,,,,
,Молочная страна,"Сметана деревенская, 18%",,200g,9,,5906245444591
,,МОЛОЧНЫЕ НАПИТКИ,,,,,
,Сваля,Банановый молочный напиток Мяу,,250 ml,8,,4770237041386
,Сваля,Банановый молочный напиток Мяу,,450 ml,12,,4770237041010
,Сваля,Клубничный молочный напиток Мяу,,450 ml,12,,4770237041034
,Сваля,Шоколадный молочный напиток Мяу,,250 ml,8,,4770237041393
,Сваля,Шоколадный молочный напиток Мяу,,450ml,12,,4770237041126
,MEAT PRODUCTS,,,,,,
,,КОЛБАСА,,Kg,DKK,,ESN code
,,"Колбаса ""Серый Олень""",,,200.00,,
,,"Колбаса ""Юбилейная""",,,250.00,,
,KELLER,"Колбаса ""Одесская""",,~500g,90.00,,
,Delikates,Для гурманов,,~300g,150.00,,2405856902
,Дымовские колбасы ,Колбаса вареная любительская,,380g,25.00,,4260130031213
,Дымовские колбасы ,Колбаса варенная Докторская,,380g,25,,4260130031398
,Дымовские колбасы ,Колбаса варенная Молочная,,380g,25,,4260130031404
,,СОСИСКИ,,,,,
,Советский стандарт,Сосиски сливочные ,,300g,20,,4770058000319
,,,,,,,
,Советский стандарт,Ушки своные копченные,,~ 1kg,85,,2610010008
,Советский стандарт,Щечки свиные конченные,,~ 1kg,75,,2610016009
,Дымовские колбасы ,Грудинка столичная,,~400g,100,,2619050002
,Дымовские колбасы ,Казы на ребре казахские,,~500g,130,,2619002004
,,САЛО,FAT,Kg,DKK,,ESN code
,Дымовские колбасы ,Сало Сибирское бочковое,,~300g,100.00,,2610122002
,Дымовские колбасы ,Сало с чесноком От Ивана,,~400g,90.00,,2610126003
,FISH PRODUCTS,,,,,,
,,РЫБНЫЕ КОНСЕРВЫ,,Kg,DKK,,ESN code
,Lemberg Fisch,"Лосось, горбушка",,70g,25.00,,2800077000709
,Либава,Карп в желейной заливке,,180g,23.00,,4750571003301
,Saldus galaskombinats,Сельдь натуральная с добавлениями масла,,240g,?,,4750398900159
,Saldus galaskombinats,Килька обжаренная в масле,,240g,?,,4750398642240
,Bribais Vilnis,Крупные шпроты в масле,,240g,21.00,,4750616001668
,Bribais Vilnis,Сардина натуральная с добавлениями масла,,240g,?,,4750616000432
,Bribais Vilnis,Сардина в томатном соусе,,240g,?,,4750616000401
,Либава,Шпроты в масле,,240g,?,,4750571000348
,Либава,Большые шпроты в масле,,240g,?,,4750571000508
,Либава,"Скумбрия Атлантическая, натуральная с добавлениями масла",,240g,?,,4750571000775
,,РЫБА В СТЕКЛЯНОЙ БАНКЕ,FISH IN GLASS,Kg,DKK,,ESN code
,Наши,Рыба копченая в масле,,250g,25.00,,5200345505252
,AMBERFISH,"Шпроты Сказка ""Золотистые шпроты""",,250g,27.00,,4751005703569
,,РЫБНЫЙ ПАШТЕТ,,Kg,DKK,,ESN code
,Bribais Vilnis,Паштет шпротный,,160g,21.00,,4750616000463
,,ИКРИНКА/ ИКРА,,Kg,DKK,,ESN code
,Санта Бремор,Икринка No1 классическая,,160g,20.00,,4810168008253
,Санта Бремор,Икринка No2 с копченым лососем,,160g,20.00,,4810168008246
,Санта Бремор,"""Икрима"" икра мойвы с копченым лососем",,165g,25.00,,4810168030940
,Санта Бремор,"""Икрима"" икра мойвы подкопченная ",,165g,25.00,,4810168030933
,,СЕЛЬДЬ,HERRING,Kg,DKK,,ESN code
,Санта Бремор,"Филе сельди ""Матиас"" приправы",,250g,27.00,,4810168000066
,Санта Бремор,"Филе сельди ""Матиас"" прованс",,250g,27.00,,4810168002220
,Санта Бремор,"Филе сельди ""Матиас"" аромат дыма",,250g,27.00,,4810168000103
,Санта Бремор,"Филе сельди ""Матиас"" свежая зелень",,250g,27.00,,4810168010607
,Санта Бремор,"Филе сельди ""Матиас"" оригинал",,250g,27.00,,4810168000011
,Elanders,Сельдь филе МАТЬЕ в рапсовом масле ,,650g,50.00,,4750240233947
,Sanitex,"Филе сельди ""Шхуна"" с пряностями",,180g,23.00,,4810168025083
,Sanitex,"Филе сельди ""Шхуна"" слабосоленое",,180g,23.00,,4810168009373
,ZigmaS,Сельдь Атлантическая без головы с приправами ,"Salted herring (gutted, head off) with spices","1,3 kg",60.00,,4770221362022
,Viči,Tradicinė Atlantinių silkių filė aliejuje,,240gr,23.00,,4770190035781
,Viči,Tradicinė Atlantinių silkių filė aliejuje,,400g,36.00,,4770190350310
,Viči,Marinuota silkiu filė aliejuje,,240gr,23.00,,4770190035811
,Viči,Marinuota silkiu filė aliejuje,,400g,36.00,,4770190375443
