,,ШОКОЛАД,CHOCOLATE,WEIGHT,PRICE,,BARCODE
,Daisena,Белый шоколад “Schogetten”,"White chocolate ""Schogetten""",100g,12.00,,4000415856601
,Daisena,Альпийский молочный шоколад с лесными орехами,Alpine milk chocolate with hazelnuts,100g,12.00,,4000607851001
,,КОНФЕТЫ ,SWEETS,WEIGHT,PRICE,,BARCODE
,Кондитерслая фаб. Микаелло,Груша с миндалём в бело- тёмном шоколадой глазури ,Pear with almonds in white-dark chocolate glaze,3 kg,135.00,,4607033690510
,Кондитерслая фаб. Микаелло,Чернослив в шоколадой глазури,Prune in chocolate glaze,3 kg,135.00,,4607033690091
,Кондитерслая фаб. Микаелло,Чернослив с миндалём в шоколадой глазури ,Prune with almonds in chocolate glaze,3 kg,135.00,,4607033690077
,Кондитерслая фаб. Микаелло,Чернослив с лесным орехом в шоколадой глазури ,Prune with nuts in chocolate glaze,3 kg,135.00,,
,Кондитерслая фаб. Микаелло,Финик с грецким орехом в бело-темной шоколадной глазури,Date with walnuts in white and dark chocolate glaze,3 kg,135.00,,4607033690503
,Кондитерслая фаб. Микаелло,Абрикос в шоколадной глазури,Apricot in chocolate glaze,3 kg,135.00,,4607033690046
,Кондитерслая фаб. Микаелло,Инжир с грецким орехом в бело- темной шоколадной глазури,Fig with walnuts in a white-dark chocolate glazed,3 kg,135.00,,4607033690275
,Кондитерслая фаб. Микаелло,Клюква в шоколадной глазури,Cranberry in chocolate glaze,3 kg,135.00,,
,Кондитерслая фаб. Микаелло,Дыня в шоколадной глазури,Melon in chocolate glaze,3 kg,135.00,,
,Кондитерслая фаб. Микаелло,Персик в бело- темной шоколадной глазури,Peach in white-dark chocolate glaze,3 kg,135.00,,
,Кондитерслая фаб. Славянка,"Конфеты вафельные ""Топленое молоко""","Wafery glazed sweets ""Baked Milk""",1 kg,100.00,,4605142020570
,Финтур,"Конфеты ""Царская птица""","Sweets ""Royal bird""",3 kg,100.00,,
,Доминик,"Конфеты ""А-ля суфле!""","Sweets ""A la sufle""",3 kg,100.00,,
,,"Конфеты ""Пилот""","Sweets ""Pilot""",3 kg,100.00,,
,,"Конфеты ""Подарок от белочки""","Sweets ""Present from squirrel""",3 kg,100.00,,
,,НАБОР КОНФЕТ,COLLECTION OF SWEETS,WEIGHT,PRICE,,BARCODE
,"ЗАТ ""одессаКондитер""","Эксклюзивная коллекция шоколадных конфет ""Сладкая сказка""","Exclusive collection of chocolate sweets ""Sweet Fairytale""",675g,100.00,,4823007009434
,Laima,"Конфеты ассорти в темном шоколаде ""Гордость Москвы""",,360g,60.00,,4750001817058
,Laima,"Конфеты ассорти в темном шоколаде ""Москва Златоглавая""",,360g,60.00,,4750001008043
,Доминик,"Конфеты ""Белочка с золотым орешком""",,150g,20.00,,4823055511255
,РотФронт,"Конфеты ассорти ""Подмосковные Вечера""",,200g,45.00,,4600300080762
,,"Набор конфет ""Русь- тройка""",,350g,65.00,,4600300002290
,,ЗЕФИР,ZEPHYR,WEIGHT,PRICE,,BARCODE
,Пензенская Кондитерская Фабрика,"Зефир ""Обожайка"" в шоколадной глазури",,200g,22.00,,4601021048550
,Makro Trade Baltic,Зефир с ванильным вкусом,,250g,22.00,,4751008660135
,Белевские сладости,Зефир Белёвский яблочный,,250g,25.00,,4612737280523
,Белевские сладости,Зефир Белёвский груша,,250g,25.00,,4612737280547
,,ХАЛВА,CHALVA,WEIGHT,PRICE,,BARCODE
,Дружковская халва,Халва ванильная подсолнечная,,200g,25.00,,4820046910875
,Дружковская халва,Халва с какао подсолнечная,,200g,25.00,,4820046910752
,,ПИРОГИ/ ТОРТЫ,CAKES,WEIGHT,PRICE,,BARCODE
,Родные простоыры,Пирожное Лакомый медовичок,,330g,29.00,,4260130030193
,Красный Октябрь,"Торт вафельный Алёнка с мягким сливочным вкусом, покрытый глазурью",,250g,25.00,,4607144730013
,,КОРЖИ ДЛЯ ТОРТОВ,LAYERS FOR CAKES,WEIGHT,PRICE,,BARCODE
,Merci,Коржи для торта Наполеон,,400g,27.00,,4820080570035
,Merci,Коржи для торта Медовик,,500g,27.00,,4820080570196
,Merci,"Коржи для торта ""Киевский""",,450g,37.00,,4820080570172
,,ВАФЕЛЬНЫЕ ЛИСТЫ,WAFFLE SHEETS,WEIGHT,DKK,,BARCODE
,Franzeluta,Листы вафельные ,Waffle sheets,700g,39.00,,4840008014618
,SNACKS,,,,,,
,,СЕМЕЧКИ,SEEDS,WEIGHT,PRICE,,BARCODE
,КДВ Краснодар,Бабкины семечки,"Sunflower seeds ""Бабкины""",500g,38.00,,4605362007023
,КДВ Краснодар,Бабкины семечки,"Sunflower seeds ""Бабкины""",450g,35.00,,4605362007146
,Барин,Жареные семечки подсолнечника – соленые,"Roasted, Salted sunflower seeds",280g,25.00,,4612663500153
,Барин,Жареные семечки подсолнечника,Roasted sunflower seeds,280g,25.00,,4612663500108
,"KochSnack'""s",Семечки жареные,Roasted sunflower seeds,300g,25.00,,4250459500361
,,Семечки Царские жареные ,Roasted sunflower seeds,500g,55.00,,4820147570077
,,Семечки жареные по-домашнему,Roasted sunflower seeds (homestyle),350g,25.00,,4260010128675
,,"Тыквенные семечки От Маруси жареные, солёные ","Roasted pumpkin seeds, salted",250g,30.00,,4260127124911
,Мартин,"Семечки ""От Мартина"" отборные",,100g,15.00,,4607012350992
,Мартин,"Семечки ""От Мартина"" отборные",,200g,25.00,,4607012351005
,Мартин,"Семечки ""От Мартина"" отборные с морской солью",,200g,25.00,,4607012351999
,,СУХАРИКИ,DRIED BREAD SNACKS,WEIGHT,PRICE,,BARCODE
,Кириешки,MAX – охотничьи колбаски,,40g,7.00,,4607010748616
,Кириешки,LIGHT – Сливочный сыр,,33g,7.00,,4607120852470
,Кириешки,Холодец с хреном,,40g,7.00,,4607010742027
,Кириешки,Ветчина с сыром,,40g,7.00,,4607010740078
,Кириешки,Салями,,40g,7.00,,4607010740191
,Кириешки,Бекон,,40g,7.00,,4607010740016
,Компашки,Сметана и лук,,35g,7.00,,4607120858328
,Flint,Сухарики пшенично-пжаные со вкусом сыра,Baked bread snacks with cheese,35g,6.00,,4820047462236
,Flint,Сухарики пшенично-пжаные со вкусом бекона,Baked bread snacks with bacon,35g,6.00,,4820047462212
,Flint,Сухарики пшенично-пжаные со вкусом салями,Baked bread snacks with salami,35g,6.00,,4820047462168
,GLOCERY,,,,,,
,,КОНСЕРВЫ,CONSERVES,WEIGHT,PRICE,,BARCODE
,Dorshleber,Печень трески,,,30.00,,
,Import&Export,Тушёнка куриная,,320g,30.00,,4260352190095
,Weberleng,Свиная закуска,,320g,22.00,,616204192962
,Weberleng,"Свиная тушёнка, крупнокусковая",,320g,30.00,,616204192931
,Leon GmbH,Баранина тушеная крупнокусковая,,525g,45.00,,4751010853075
,Leon GmbH,Тушеный куриный окорок,,525g,40.00,,4751010852115
,Leon GmbH,Говядина тушеная крупнокусковая,,525g,45.00,,4751010852108
