,Mirinda,Mirinda napój gazowany o smaku pomarańczowym,Mirinda fizzy drink with orange flavor,"1,5l",14.00,3.00,
,,SOKI,JUICES,WEIGHT,"PRICE, DKK",PANT,BARCODE
,,Soki butelkowane plastikowe,Juice Bottles (plastic) (pant price is NOT included),,,,
,Tymbark,Tymbark jabłko gruszka,Tymbark apple and pear,2l,13.00,3.00,5900334001566
,Tymbark,Tymbark jabłko czerwona porzeczka,Tymbark apple and redcurrant,2l,13.00,3.00,5900334007490
,Tymbark,Tymbark jabłko brzoskwinia,Tymbark apple and peach,2l,13.00,3.00,5900334006264
,Tymbark,Tymbark wiśnia jabłko,Tymbark cherry and apple,2l,13.00,3.00,5900334006233
,Tymbark,Tymbark jabłko mięta,Tymbark apple and mint,2l,13.00,3.00,5900334006233
,Tymbark,Tymbark białe winogrono,Tymbark white grape,2L,13.00,3.00,5900334006233
,Kubuś,Kubuś marchew jabłko pomarańcz,Kubus carrot apple orange,900ml,13.50,1.50,5901067446075
,Kubuś,Kubuś banan jabłko brzoskwinia,Kubus banana apple peach,900ml,13.50,1.50,5901067454070
,Kubuś,Kubuś marchew zielony banan jabłko kiwi,Kubus carrot green banana apple kiwi,900ml,13.50,1.50,5901067484039
,Kubuś,Kubuś banan marchew jabłko,Kubus banana carrot apple,900ml,13.50,1.50,5901067451079
,Kubuś,Kubuś marchew brzoskwinia jabłko,Kubus carrot peach apple,900ml,13.50,1.50,5901067455077
,Kubuś,Kubuś marchew malina jabłko,Kubus carrot raspberry apple,900ml,13.50,1.50,5901067447072
,Kubuś,Kubuś play arbuz mega frut,Kubus play watermelon mega frut,400ml,8.50,1.50,5901067401074
,Kubuś,Kubuś play marchew jabłko czerwona pomarańcza limetka,Kubus play carrot apple red orange lime,400ml,8.50,1.50,5901067472012
,Kubuś,Kubuś play multi mega frut witamina,Kubus play multi meag frut vitamin,400ml,8.50,1.50,5901067400220
,Kubuś,Kubuś play czereśnia marchew,Kubus play cherry carrot,400ml,8.50,1.50,5901067471015
,Kunuś,Kubuś play marchew jabłko truskawka limetka,Kubus play carrot apple strawberry lime,400ml,8.50,1.50,5901067472012
,Frugo,Frugo mocno zielone,Frugo green,900ml,20.50,1.50,5900552053095
,Frugo,Frugo mocnopomarańczowe,Frugo orange,900ml,20.50,1.50,5900552053118
,Frugo,Frugo mocno czarne,Frugo black,500ml,8.50,1.50,5900552053163
,Frugo,Frugo original aloe vera,Frugo original aloe vera,500ml,8.50,1.50,5900552054726
,Frugo,Frugo lemon juicy water,Frugo lemon juicy water,500ml,8.50,1.50,5900552053927
,Frugo,Frugo strawberry juicy water,Frugo strawberry juicy water,500ml,8.50,1.50,5900552053903
,,Soki butelkowane szklane,Juice Bottles (glass) (pant price is NOT included),,,,
,Frugo,Frugo mocno żółte,Frugo yellow,250ml,7.00,1.00,5900552039099
,Frugo,Frugo mocno czerwone,Frugo red,250ml,7.00,1.00,5900552039075
,Frugo,Frugo mocno czarne,Frugo black,250ml,7.00,1.00,5900552035251
,Frugo,Frugo mocno pomarańczowe,Frugo orange,250ml,7.00,1.00,5900552035312
,Frugo,Frugo mocno zielone,Frugo green,250ml,7.00,1.00,5900552035275
,Tymbark,Tymbark jabłko brzoskwinia,Tymbark apple peach,250ml,6.00,1.00,5900334000828
,Tymbark,Tymbark cytryna mięta,Tymbark lemon mint,250ml,6.00,1.00,5900334000798
,Tymbark,Tymbark jabłko wiśnia,Tymbark apple cherry,250ml,6.00,1.00,5900334000880
,Tymbark,Tymbark pomarańcza brzoskwinia,Tymbark orange peach,250ml,6.00,1.00,5922334000835
,Tymbark,Tymbark malina mięta,Tymbark raspberry mint,250ml,6.00,1.00,5900334000767
,Kubus,Kubuś marchew jabłko pomarańcza,Kubus carrot apple orange,300ml,5.00,1.00,5901067446020
,Kubus,Kubuś marchew malina jabłko,Kubus carrot raspberry apple,300ml,5.00,1.00,5901067447027
,Kubus,Kubus marchew brzoskwinia jabłko,Kubus carrot peach apple,300ml,5.00,1.00,5901067455022
,,Soki w kartonach,Juice in carton,,,,
,Hortex,Vitaminka banan marchewka jabłko,Vitaminka banana carrot apple,1l,15.00,,5900500030222
,Hortex,Vitaminka and Superfruits acerola granat marchewka jabłko,Vitaminka and Superfruits acerola grenade carrot apple,1l,15.00,,5900500028809
,Hortex,Vitaminka malina marchewka jabłko,Vitaminka raspberry carrot apple,1l,15.00,,5900500028823
,Hortex,Vitaminka and Superfruits mango marakuja marchewka jabłko,Vitaminka and Superfruits mango marakuja carrot apple,1l,15.00,,5900500030185
,Hortex,Vitaminka marchewka,Vitaminka carrot,1l,15.00,,5900500023163
,Hortex,Vitaminka truskawka marchewka jabłko,Vitaminka strawberry carrot apple,1l,15.00,,5900500028847
,Hortex,Wisnia nektar,Cherry nectar,1l,15.00,,5900500024283
,Hortex,Pomarancza brzoskwinia,Orange and peach juice,1l,15.00,,5900500027857
,Hortex,Zlote jablko z delikatnym miazszem (100% sok),Golden apple juice with pulp (100% juice),1l,15.00,,5900500028519
,Hortex,Wieloowocowy nektar,Mixed fruit nectar,1l,15.00,,5900500027895
,Hortex,Greipfrut nektar,Grapefruit nectar,1l,15.00,,5900500029714
,Hortex,Czarna porzeczka nektar,Black currant nectar,1l,15.00,,5900500024276
,Hortex,Pomidor (100% sok),Tomatoe juice (100% juice),1l,15.00,,5900500024368
,Hortex,Pomarancza (100% sok),Orange juice (100% juice),1l,15.00,,5900500024290
,Hortex,Jablko gtuszka z delikatnym miaszem (100% sok),Apple and pear juice with pulp (100% juice),1l,15.00,,5900500030932
,Hortex,Jablko (100% sok),Apple juice (100% juice),1l,15.00,,5900500024337
,Hortex,Wielowarzywny (100% sok),Mixes vegetables juice (100% juice),1l,15.00,,5900500027666
,Hortex,Mandarynki Klementynki z czasteczkami miazszu,Orange juice with pulp,1l,15.00,,5900500026744
