,KARUMS,Biezpiena sierinš ar šokolades gabaliniem,Sweet curd cheese with chocolate pieces,45g,7.00,,4750050341511
,,SALDEJUMS,ICE CREAM,"Weight, KG","Price, DKK",,Ean CODE
,AUGUSTO,Saldējums Sendvičs Krievu plombīrs,Ice Cream Sandwich (plombir),200ml,,,
,AUGUSTO,Saldējums Sendvičs Krēms brulē,Ice Cream Sandwich Cream Brulee,200ml,,,
,BALBIINO,Ledus,Ice,1 kg,,,
,DRUVAS PĀRTIKA,"Plombīra-olu liķiera ar rozīnēm šok., marmelādi","Ice cream with egg liqueur with raisins, chocolate and marmalade",1L,?,,4750058174111
,EKSELENCE,Saldējums kļavu sīrups ar valriekstiem,Ice cream with maple syrup with walnuts,1L,?,,4750025570908
,KĀRUMS,Saldējums Šokolādes,Chocolate ice cream,1L,?,,4740188000701
,KĀRUMS,Saldējums Vaniļas,Vanilla ice cream,1L,?,,4740188000695
,KĀRUMS,Saldējums Šokolādes,Chocolate ice cream,56g,10.00,,4740188000664
,KĀRUMS,Saldējums Vaniļas,Vanilla ice cream,56g,10.00,,4740188000657
,DRUVAS SALDEJUMS,Plombira saldejums,Ice cream (plombir),75g,10.00,,4750058013106
,DRUVAS SALDEJUMS,Plombira saldejums rozinu,Ice cream with rosins,75g,10.00,,4750058230466
,DRUVAS SALDEJUMS,Plombira saldejums šokolades,Ice cream with chocolate,75g,10.00,,4750058014103
,Premia,Karamelu garšas krejuma Gotina,Caramel ice cream Cow on stick,60g,10.00,,4770167462855
,Premia,Vanilas sadejums ČAU,Vanilla ice cream ČAU,450g,26.00,,4740093005914
,Premia,Šokolades sadejums ČAU,Chocolate ice cream ČAU,450g,26.00,,4740093005921
,Rigas Pienas Komb,Ekselence krejuma karamelu saldejums glazura parklats ar karamelu merci un piena sokoladi,EKSELENCE cream and caramel ice cream covered with caramel sauce and chocolate milk,95g,18.00,,4750025890198
,Rigas Pienas Komb,Ekselence krejuma karamelu saldejums glazura parklats ar kirsu merci un piena sokoladi,EKSELENCE cream and caramel ice cream coated with cherry sauce and milk chocolate,95g,18.00,,4750025890105
,Rigas Pienas Komb,Ekselence saldejums ar kiršu merci un kiršiem,EKSELENCE ice cream with cherry sauce and cherry,480g,70.00,,4750025570854
,Laima,“Serenade” krejuma saldejums,Ice cream made of milk and cream with apricot filling and hazelnuts,600g,75.00,,4750075900359
,SWEETS/ SNACKS/ CHOCOLATE/ BUISCUITS,,,,,,
,,ČIPSI,CHIPS,"Weight, KG","Price, DKK",,Ean CODE
,ĀDAŽU ČIPSI,Čipsi ar dillēm,Chips with dill,150g,17.00,,4750024201889
,ĀDAŽU ČIPSI,Čipsi ar krējumu un sīpoliem,Chips with sour cream and onions,150g,17.00,,4750024201865
,ĀDAŽU ČIPSI,Čipsi ar sieru,Chips wth cheese,150g,17.00,,4750024201858
,ESTRELLA,Čipsi ar aromātiskām dillēm,Chips with the aromatic dill,150g,18.00,,4779028340172
,ESTRELLA,Čipsi ar lauku krējuma un sīpolu garšu,Chips with rural sour cream and onion flavor,150g,18.00,,4779028340134
,ESTRELLA,Čipsi ar grileta bekona garšu,Chips with grilled bacon flavor,140g,18.00,,4779028343708
,ESTRELLA,Čipši ar maiga,Chips with mild,150g,18.00,,4779028343340
,PĒRNES,Kartupeļu plāksnes ar diļļu garšu,Potato plate with dill flavor,75g,,,
,PĒRNES,Kartupeļu plāksnes ar kečupa garšu,Potato plate with ketchup flavor,75g,,,
,PĒRNES,Kartupeļu plāksnes ar siera garšu,Potato plate with cheese flavor,75g,,,
,PĒRNES,Kartupeļu plāksnes ar sīpoliem un bekonu,Potato plate with onions and bacon,75g,,,
,,SALMINI,STICKS,"Weight, KG","Price, DKK",,Ean CODE
,DRAUGU,Salmiņi ar magonēm,Straws with poppies,150g,10.00,,
,DRAUGU,Salmiņi saldie,Sweet straws,150g,10.00,,
,,GRAUZDETAS MAIZES UZKODAS,DRIED BREAD SNACKS,"Weight, KG","Price, DKK",,Ean CODE
,KIRIESHKI,Grauzdiņi ar bekona garšu,Toast with bacon flavor,40g,7.00,,4607010740016
,KIRIESHKI,Grauzdiņi ar salami garšu,Toasted bread with salami flavor,40g,7.00,,4607010740191
,KIRIESHKI,Grauzdiņi ar siera garšu,Toasts with cheese taste,40g,7.00,,4607010740030
,KIRIESHKI,Grauzdiņi ar šķiņķa un siera garšu,Toast with ham and cheese taste,40g,7.00,,4607010740078
,KIRIESHKI,Grauzdiņi Kirieshki ar aukstās gaļas un mārrutku garšu,Toasts Kirieshki with cold meat and horseradish flavor,40g,7.00,,
,KIRIESHKI,Grauzdiņi Kirieshki Borodinskije ar ķiploka garšu,Toasts Kirieshki Borodinskije with garlic flavor,40g,7.00,,
,KIRIESHKI,Grauzdiņi Kirieshki Max ar mednieka desiņu garšu,Toasts Kirieshki Max with hunter sausage taste,40g,7.00,,4607010748616
,KIRIESHKI,Grauzdiņi Kompashki,Kompashki toasted,35g,7.00,,4607120858328
,KIRIESHKI,Grauzdiņi Light ar krēj. un siera garšu Kirieshki,Light toast with cream and cheese taste Kirieshki,33g,7.00,,4607120852470
,KIRIESHKI,Grauzdiņi Light ar krēj. un zaļumu garšu Kirieshki,Light toast with cream and herb flavors Kirieshki,33g,,,
,,CEPUMI/ KREKERI,BISCUITS/ COOKIES/ CRACKERS,"Weight, KG","Price, DKK",,Ean CODE
,ADUGS,Cepumi Auzu,Oatmeal cookies,350g,12.00,,
,ANTARIS,Cepumi BEZE ar zemesrieksti,Cookies meringue with peanuts,180g,20.00,,4750190046444
,ANTARIS,CEPUMI BEZE KLASISKIE,Cookies meringue “Classical”,120g,,,
,Laima,Cepumi SELGA “Cirks”,Cookies SELGA “Cirkus”,300g,12.00,,4750007164347
,Laima,Cepumi ar iebiezinato pienu SELGA “Gimenes”,Cookies with condensed milk “Gimenes”,300g,12.00,,4750007158346
,Laima,Cepumi SELGA “Classic”,Biscuits SELGA “Classic”,180g,10.00,,4750007689512
,Laima,Cepumi SLEGA ar šokolades garšu,Biscuits SELGA with chocolate taste,180g,10.00,,4750007689536
,Laima,Cepumi SLEGA ar iru krema garšu,Biscuits SELGA with irish cream taste,180g,10.00,,4750007689553
,Laima,Cepumi SLEGA ar klavu sirupa garšu,Biscuits SELGA maple syrip taste,180g,10.00,,4750007848032
,Laima,Cepumi SLEGA ar rozinem,Biscuits SELGA with raisins,180g,10.00,,4750007848582
,Laima,Cepumi SLEGA ar abolu gabaliniem,Biscuits SELGA with apple pieces,180g,10.00,,4750007848766
,Laima,Cepumi SLEGA ar iebiezinata piena garšu,Biscuits SELGA condensed milk taste,180g,10.00,,4750007689574
,Laima,Cepumi SLEGA ar bananu garšu,Biscuits SELGA banana taste,180g,10.00,,4750007848360
,Laima,Cepumi MAMMAS ar kakao un Indijas riekstiem (sviesta cepumi),Biscuits MAMMAS with cocoa and cashew nuts (butter biscuits),250g,24.00,,4750007817113
,LV UN KO,"Cepumi "" Kārums """,Biscuits “Karums”,500g,,,
,MOŽUMS,Cepumi ar ZEMEŅU marmelādi PAUZE,Cookies with strawberry jam “Pauze”,135g,,,
,MOŽUMS,"Cepumi ""PAUZE"" ar lazdu, zemesr. un rozīnēm",Biscuits with hazelnuts and raisins “Pauze”,120g,15.00,,4750536001755
,MOŽUMS,Cepumi AR ŠOKOLĀDI PAUZE,Biscuits with chocolate “Pauze”,120g,15.00,,4750536001403
,MOŽUMS,Cepumi SVIESTU PAUZE,Biscuits with butter “Pauze”,130g,15.00,,4750536001427
,Kondis,Auzu cepumi ar rozinem,Oatmeal cookies with raisins,300g,12.00,15.00,4751005302427
,ADUGS,Krekeri ar kiplokiem,Crackers with garlic,140g,12.00,,4752038002742
,ADUGS,Krekeri “Jūras”,"Crackers ""Jūras” (“Sea”)",140g,12.00,,4752038002872
,,PIPARKŪKAS/ PRJANIKI/ BARANKAS,GINGERBREADS / BAGELS,"Weight, KG","Price, DKK",,Ean CODE
,Laima,Piparkūkas,Gingerbread,450g,29.00,,4750007848698
,Laima,Piparkūkas ar dzervenu pildijumu,Gingerbread with cranberry filling,300,27.00,,4750007898044
,ADUGS,Prjaņiki ar krejuma garšu,Gingerbreads with cream flavor,250g,?,,4751000171646
,ADUGS,Prjaņiki “Lauku”,"Gingerbreads ""Lauku”",250g,?,,4751000171714
,ADUGS,Prjaniki ar dzervenu garšas pildijumu,Gingerbreads with filling of cranberry taste,250g,12.00,,4751000171417
,PRP,Barankas ar magonēm,Bagels with poppy,350g,,,
,,VAFELES,WAFERS,"Weight, KG","Price, DKK",,Ean CODE
,Laima,Vafeles SELGA ar šokolades garšu,Wafers SELGA with chocolate taste ,90g,8.00,,4750007817793
,Laima,Vafeles SELGA ar citronu garšu,Wafers SELGA with lemon taste,90g,8.00,,4750007817748
,Laima,Vafeles SELGA ar lazdu riekstu garšu,Wafers SELGA with hazelnut taste,90g,8.00,,4750007848216
,Laima,Vafeles SELGA ar vanilas garšu,Wafers SELGA with vanilla taste,90g,8.00,,4750007848575
,ADUGS,Vafeļu torte ar Valriekstiem,Wafer cake with walnuts,320g,,,
,ADUGS,Vafeļu torte ar Zemesriekstiem,Waffle cake with peanuts,320g,,,
,LAIMA,Vafeļu torte Klasika,Wafer cake “Classic”,350g,,,
,LAIMA,Vafeļu torte MOKA,Wafer cake “Moka”,350g,35.00,,4750007847974
,LAIMA,Vafeļu torte TRIFELE,Wafer cake “Truffles”,350g,,,
,LAIMA,Vafeļu torte VĀVERĪTE,Wafer cake “VĀVERĪTE” (“Squirrel”),250g,27.00,,4750007291036
,LAIMA,Vafelu torte HALVA,Wafer cake “Halva”,300g,35.00,,4750007847967
,LAIMA,Vafelu torte RETRO,"Wafer cake “Retro""",350g,35.00,,4750007847981
,LAIMA,Vafelu torte LAIMINGA GOTINA,Wafer cake “Laiminga Gotina” (“Happy Cow”),300g,29.00,,4750007897306
,LAIMA,Vafelu torte with hazelnuts,Wafer cake with hazelnuts,40g,6.00,,4750007848513
,LAIMA,Vafelu torte with almonds,Wafer cake with almonds,40g,6.00,,4750007848520
,VECAIS BEĶERIS,Vafeļu plāksnes,Wafer plate,100g,,,
,,KONFEKTES,SWEETS,"Weight, KG","Price, DKK",,Ean CODE
,ADUGS,Konfektes Vasilkovaja poljana,Sweets “Vasilkovaja poljana”,2 kg,,,
,ARGO,Ledenes ar putojošu pildījumu “Monstraki”,Lollipops with a foaming filler “Monstraki”,1 kg,,,
