"Компас ООД, с. Комарево",Пастет Пуешки,Pate,100 g.,9.00,3800078008338,PATE,,,
Пелтина ЕООД,"Добър Българин, Лакомка Овощная закуска",Vegetable dish,720 g.,18.00,3800220811656,OTHER PRODUCTS,,,
Пелтина ЕООД,Гювеч,Stew,680 g.,16.00,3800044610114,OTHER PRODUCTS,,,
"Пелтина, гр. Искър","Гювеч, готово ястие",Ready meal- stew,800 g.,20.00,3800044612118,OTHER PRODUCTS,,,
Пелтина ЕООД,Паприкаш,Stew pepper,680 g.,16.00,3800220810222,OTHER PRODUCTS,,,
"Deroni Ltd, St. Zagora","Gherkins, Hot Appetising","Gherkins, Hot Appetising",560 g.,20.00,3800740023027,OTHER PRODUCTS,,,cucumbers
"Deroni Ltd, St. Zagora","Gherkins, Homestyle","Gherkins, Homestyle",560 g.,20.00,3800740023010,OTHER PRODUCTS,,,cucumbers
Грийн Дот ЕООД,"Pepperland, Гръцки чушлета ръчно редени",Greek peppers,420 g.,12.00,3800095941182,OTHER PRODUCTS,,,
"""Диавена Трейд"" АД, гр. Шумен","Bona Dea , Лозови Сарми","Stuffed wine leaves ""Bona Dea""",400 g.,18.00,3800059202755,OTHER PRODUCTS,,,
"""Диавена Трейд"" АД, гр. Шумен","Bona Dea, Зелеви Сарми","Stuffed cabbage leaves ""Bona Dea""",400 g.,18.00,3800059202779,OTHER PRODUCTS,,,
"Грийн Дот ЕООД, Пловдив","Адела, Лозови листа",Wine leaves ,600 g.,15.00,3800095902817,OTHER PRODUCTS,,,
"Пелтина, гр. Искър",Боб по капански,Beans,560 g.,10.00,3800044620076,BEANS,,,
"Пелтина, гр. Искър",Боб по манастирски,Beans,560 g.,10.00,3800220811700,BEANS,,,
"Пелтина, гр. Искър",Селски боб,Countryside beans,560 g. ,10.00,3800044620045,BEANS,,,
"""Суико"" ЕООД, гр. София","KRINA, Нахут за директна консумация","KRINA, Chickpeas for direct consumption",400 g,10.00,3800106400653,BEANS,,,
"Компас ООД, с. Комарево","Compass, Свинско в собствен сос","Pork in own juice ""Compass""",180 g.,20.00,3800078005351,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Пилешко в собствен сос","Chicken in own juice ""Compass""",180 g.,18.00,3800078008268,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Телешко в собствен сос","Veal in own juice ""Compass""",300 g.,30.00,3800078008277,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Говеждо в собствен сос","Beef in own jucie ""Compass""",180 g.,20.00,3800078005481,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Монтана закуска с говеждо месо","Snack with beef meat ""Compass""",180 g.,18.00,3800078009113,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Пиле с ориз, готово ястие","Chicken with rise ""Compass""",390 g.,20.00,3800078006242,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Свинско с боб","Pork with beans ""Compass""",300 g.,20.00,3800078006310,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Телешко с грах","Veel with peas ""Compass""",300 g.,20.00,3800078006310,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Кюфтета по чирпански","Meatballs ""Compass""",300g.,20.00,3800078008260,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Кюфтета с бял сос","Meatballs with white sauce ""Compass""",300 g.,20.00,3800078005818,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Кюфтета по ориенталски, готово ястие","Meatballs ""Compass""",390 g.,20.00,3800078009236,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Кюфтета с боб","Meatballs with beans ""Compass""",390 g.,20.00,3800078009564,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Мусака","Moussaka ""Compass""",300 g.,20.00,3800078005788,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Шкембе Чорба","Triple soup ""Compass""",300 g.,20.00,3800078006280,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Пиле с грах","Chicken with peas ""Compass""",300 g.,20.00,3800078006266,CONSERVES,,,
"Компас ООД, с. Комарево","Compass, Боб Яхния",Beans,300 g.,20.00,3800078009106,CONSERVES,,,
,КОНСЕРВИ - РИБА,CONSERVES- FISH,WEIGHT,"PRICE, DKK",BARCODE,,,,
"""Диавена"" ООД, гр. Шумен",Скумрия в специален доматен сос,Mackerel in a special tomato sauce,160 g.,12.00,3800059206524,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Копърка в доматен сос,Sprat in tomato sauce,160 g.,12.00,3800059200072,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Скумрия филе в доматен сос,Mackerel fillet in tomato sauce,180 g.,15.00,3800059200133,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Скумрия в собствен сос,Mackerel in own juice,160 g.,12.00,3800059200034,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Скумрия в доматен сос,Mackerel in tomato sauce,160 g.,12.00,3800059200010,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Скумрия филе в гръцки сос,Mackerel fillet in Greek sauce,180 g.,15.00,3800059201925,CONSERVES- FISH,,,
"""Диавена"" ОД, гр. Шумен",Скумрия в подлютен доматен сос,Mackerel in tomato sauce,180 g.,15.00,3800059201789,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Скумрия филе в слънчогледово олио,Mackerel fillets in sunflower oil,170 g.,15.00,3800059200140,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Скумрия в подлютен доматен сос,Mackerel in tomato sauce,330 g.,17.00,3800059204384,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен","Dinea, Скумрия в доматен сос","Mackerel in Tomato Sauce ""Dinea""",310 g.,17.00,3800059205022,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Закуска Скумрия,Mackerel snack,330 g.,17.00,3800059204391,CONSERVES- FISH,,,
"""Диавена"" ООД, гр. Шумен",Закуска Рибна,Fish snack,160 g.,12.00,3800059200041,CONSERVES- FISH,,,
"Веда ООД, гр. Плевен","Veda, Оцет Винен","Wine vinegar ""Veda""",700 ml.,12.00,3800111801018,VINEGAR,,,
"Веда ООД, гр. Плевен","Veda, Оцет Ябълков","Apple vinegar ""Veda""",700 ml.,13.00,3800111801117,VINEGAR,,,
"""Клас Олио"" АД","Клас Олио, Слънчогледово",Sunflower seeds oil,1 l.,18.00,3800202810219,OIL,,,
Deroni Ltd. ,Аджика домашная,Homemade adzhika,350 g.,12.00,3800740011116,ADZHIKA/ SAUCE,,,
"Bulcons, Първомай","Доматен Сос, магданоз",Homemade sauce,540 g. ,15.00,3800128904023,ADZHIKA/ SAUCE,,,
"Bulcons, Първомай","Лютеница Първомай, ",Parvomai lyutenitsa,560 g.,30.00,3800128901022,LYUTENITSA,,,
"Bulcons, Първомай","Домашна лютеница, Първомай",Homemade parvomai lyutenitsa,540 g. ,33.00,3800128901046,LYUTENITSA,,,
"Bulcons, Първомай","Домашна лютеница, Първомай",Homemade parvomai lyutenitsa,290 g.,20.00,3800128901060,LYUTENITSA,,,
"Bulcons, Първомай",Лютеница Първомай,Parvomai lyutenitsa,310 g.,20.00,3800128901015,LYUTENITSA,,,
