Gyermelyi,Gyermelyi szelesmetelt ,Noodles,250g,16.00,5997132504061,PASTA
Gyermelyi,Gyermelyi csigateszta,Curl,250g,15.00,5997132504054,PASTA
,BUZADARA,GROATS ,WEIGHT,"PRICE, DKK",BARCODE,
Gyermelyi,Etkezesi buzadara ,Groats,1000g,12.00,5997132505020,GROATS 
,LEVESEK,SOUPS,WEIGHT,"PRICE, DKK",BARCODE,
Nestle Hungaria,Maggi Dorgicsei csibeleves ,Chicken soup,60g,6.00,,SOUPS
Nestle Hungaria,Maggi zoldsegleves kagylotesztaval ,Vegetable soup with shell pasta,46g,6.00,,SOUPS
Nestle Hungaria,Maggi gulyasleves tarhonyával ,Goulash soup,48g,7.00,8585002480262,SOUPS
Nestle Hungaria,Maggi Grizgaluskaleves ,Semolina noodle soup,59g,7.00,,SOUPS
Nestle Hungaria,Maggi tyukhusleves metelotesztaval,Chicken soup with noodles,40g,7.00,,SOUPS
,MAK,POPPY SEEDS ,WEIGHT,"PRICE, DKK",BARCODE,
VOG Export-Import,Backmit daralt mak ,Poppy seeds,200g,19.00,9001458065260,POPPY SEEDS 
,POR ,POWDER,WEIGHT,"PRICE, DKK",BARCODE,
Koronás cukor,Porcukor,Sugar powder,500g,9.00,5998501351057,POWDER
,FAJ,SPIECES,WEIGHT,"PRICE, DKK",BARCODE,
Hazi Piros Paprika,Fokhagymas fuszerkeverek,Garlic spices,33g,12.00,5997480711715,SPIECES
Hazi Piros Paprika,Grill fuszerkeverek,Grill spices,33g,12.00,5997480711746,SPIECES
Hazi Piros Paprika,Szarnyas fuszerkeverek ,Spices for poultry,33g,12.00,5997480711791,SPIECES
Hazi Piros Paprika,Fasirt fuszerkeverek ,Spices for meatloaf,33g,12.00,5997480711692,SPIECES
Hazi Piros Paprika,Magyaros fuszerkeverek,Hungarian style spices,33g,12.00,5997480711777,SPIECES
Hazi Piros Paprika,Halaszle fuszerkeverek ,Spices for Hungarian fish soup,80g,20.00,5997480702638,SPIECES
Hazi Piros Paprika,Porkolt fuszerkeverek,Spices for stew,80g,20.00,5997480702713,SPIECES
Hazi Piros Paprika,Sulthal fuszerkeverek,Spices for fried fish,33g,12.00,5997480711760,SPIECES
Hazi Piros Paprika,Apropecsenye fuszerkeverek,Spices for roasted meat,33g,12.00,5997480711678,SPIECES
Hazi Piros Paprika,Borokabogyo,Juniper berries,15g,4.00,5997480712491,SPIECES
Hazi Piros Paprika,Borsikafu,Savory,50g,8.00,,SPIECES
Hazi Piros Paprika,"Kömény, egész",Caraway,,3.00,,SPIECES
Hazi Piros Paprika,"Feherbors, orolt","White pepper, grounded",15g,6.00,5997480702157,SPIECES
Hazi Piros Paprika,"Feketebors, egesz ","Black pepper, whole",20g,5.00,,SPIECES
Hazi Piros Paprika,Fokhagymapor,Garlic powder,50g,10.00,,SPIECES
Hazi Piros Paprika,"Szegfuszeg, egesz","Clove, whole",20g,9.00,5997480702249,SPIECES
Hazi Piros Paprika,Kakukkfu,Thyme,8g,6.00,5997480703888,SPIECES
Hazi Piros Paprika,"Majoranna, morzsolt","Marjoram, crumbled",8g,3.00,,SPIECES
Univer Product,Fokhagymakrém,Garlic spices,70g,9.00,5997010303137,SPIECES
Univer Product,Gulyaskrem,Goulash spices,70g,9.00,5997010302017,SPIECES
,MÁRTÁSOK,SAUCES,WEIGHT,"PRICE, DKK",BARCODE,
Univer Product,Edes Anna,Sauce from sweet peppers,200g,18.00,5997010301255,SAUCES
Univer Product,Eros Pista ,Sauce from hot peppers,200g,18.00,5997010301195,SAUCES
Univer Product,"Piros Arany, csipos ","Paprika sauce, hot",70g,9.00,5997010301027,SAUCES
Univer Product,"Piros Arany, csemege ",Paprika sauce,70g,9.00,,SAUCES
,MUSTAR/ MAJONEZ/ TORMA,MUSTARD/ MAYONNAISE/ HORSERADISH,WEIGHT,"PRICE, DKK",BARCODE,
Univer Product,Mustar,Mustard,70g,9.00,5997010305063,MUSTARD/ MAYONNAISE/ HORSERADISH
Univer Product,Majonez,Mayonnaise,70g,9.00,5997010304011,MUSTARD/ MAYONNAISE/ HORSERADISH
Univer Product,Majonez,Mayonnaise,620g,49.00,5997010303281,MUSTARD/ MAYONNAISE/ HORSERADISH
Globus,Majonez,Mayonnaise,600g,45.00,8712100517273,MUSTARD/ MAYONNAISE/ HORSERADISH
Univer Product,Reszelt torma ,Filed horseradish,190g,18.00,,MUSTARD/ MAYONNAISE/ HORSERADISH
Univer Product,Majonezes torma,Horseradish with mayonnaise,70g,9.00,5997010304127,MUSTARD/ MAYONNAISE/ HORSERADISH
SWEET PRODUCTS,,,,,,
,CUKORKA,CANDIES,WEIGHT,"PRICE, DKK",BARCODE,
Mondelez Hungaria,"Negro ""Mentol""",Menthol candies,79g,10.00,7622210048004,CANDIES
Mondelez Hungaria,"Negro ""Classic"" ",Classic candies,79g,10.00,7622210046048,CANDIES
Mondelez Hungaria,"Negro ""Mez""",Honey candies,79g,10.00,7622210046277,CANDIES
,KEKSZ,BISCUITS,WEIGHT,"PRICE, DKK",BARCODE,
Mondelez Hungaria,"Pilota keksz, kakaos ",Biscuits with cocoa on a tray,320g,25.00,7622210078971,BISCUITS
Mondelez Hungaria,"Pilota keksz, kakaos ",Biscuits with cocoa in a tube,180g,12.00,7622210078988,BISCUITS
Mondelez Hungaria,Pilota vanilias karika ,Biscuits “Vanilla rings”,300g,25.00,7622210079008,BISCUITS
,CSOKOLÁDÉ,CHOCOLATE ,WEIGHT,"PRICE, DKK",BARCODE,
Mondelez Hungaria,Sport szelet ,Chocolate “Sport”,31g,5.00,7622210145390,CHOCOLATE 
Mondelez Hungaria,Sport szelet XL,Chocolate “Sport XL”,42g,5.00,7622210145406,CHOCOLATE 
Mondelez Hungaria,Sport szelet XXL tej ,Chocolate “Sport XXL milk”,51g,5.00,7622210145413,CHOCOLATE 
Mondelez Hungaria,Sport szelet ,Chocolate “Sport”,25g,5.00,59905318,CHOCOLATE 
Mondelez Hungaria,Lotto,Lotto bat,25g,5.00,5998711723392,CHOCOLATE 
Mondelez Hungaria,Kapuciner,Cappuccino bar,31g,5.00,7622210145437,CHOCOLATE 
Mondelez Hungaria,Szamba,Szamba bar,25g,5.00,5998711723385,CHOCOLATE 
Nestle Hungaria,Balaton BUMM ,Chocolate 'Balaton” with caramel,42g,6.00,7613034063946,CHOCOLATE 
Nestle Hungaria,Balaton szelet – tej,Chocolate “Balaton”- milk,30g,5.00,7613032201074,CHOCOLATE 
Nestle Hungaria,Balaton szelet – rum,Chocolate “Balaton”- rum,30g,5.00,7613032201050,CHOCOLATE 
Nestle Hungaria,Balaton szelet – et ,Chocolate “Balaton”- dark,30g,5.00,7613032201098,CHOCOLATE 
Bonbonetti kft,Tibi – milk chocolate,Milk chocolate “Tibi”,90g,13.00,5996496007676,CHOCOLATE 
Bonbonetti kft,Tibi – chocolate,Chocolate “Tibi”,90g,13.00,5996496007652,CHOCOLATE 
Nestle Hungaria,Boci chocolate,Chocolate “Boci”,100g,15.00,,CHOCOLATE 
SNACKS,,,,,,
,CHIPS,CHIPS,WEIGHT,"PRICE, DKK",BARCODE,
Intersnack Hungaria,Chio Chips,Chips “Chio”,75g,12.00,,CHIPS
,NAPRAFORGÓMAG,SUNFLOWER SEEDS ,WEIGHT,"PRICE, DKK",BARCODE,
Mogyi,"Napraforgomag, porkolt","Sunflower seeds, roasted",200g,12.00,5997347542353,SUNFLOWER SEEDS 
Mogyi,"Napraforgomag, porkolt, sozott","Sunflower seeds, roasted and salted",200g,12.00,5997347542339,SUNFLOWER SEEDS 
ALCOHOL DRINKS,,,,,,
,UNICUM/ FUTYULOS,UNICUM/ PALINCA,WEIGHT,"PRICE, DKK",BARCODE,
Zwack,Unicum,Unicum,700ml,140.00,5995099191720,UNICUM/ PALINCA
Zwack,Unicum,Unicum,500ml,110.00,5995099191515,UNICUM/ PALINCA
Zwack,Unicum,Unicum,200ml,55.00,5995099191218,UNICUM/ PALINCA
Zwack,Unicum Szilva,Unicum with plum,700ml,135.00,5995099518206,UNICUM/ PALINCA
Zwack,Maximilian Tokaj,Maximilian Tokaj,500ml,100.00,5995099428772,UNICUM/ PALINCA
Zwack,Vilmos,Vilmos,,135.00,5995099089713,UNICUM/ PALINCA
Zwack,Futyulos Mezes Szilva,Palinca with honey and plum,500ml,90.00,5995099429106,UNICUM/ PALINCA
Zwack,Futyulos Mezes Malna ,Palinca with honey and raspberry,500ml,90.00,5995099429113,UNICUM/ PALINCA
