ALCOHOL DRINKS,,,,,,
,PIWO,BEER,WEIGHT,"PRICE, DKK",BARCODE,Type
Skittles,Skittles crazy sours,Skittles crazy sours,125g,16,5000159314572,Type
Skittles,Skittles crazy sours,Skittles crazy sours,174g,19,4009900465304,Type
Skittles,Skittles fruits,Skittles fruits,38g,6,5000159376792,Type
Skittles,Skittles fruits,Skittles fruits,174g,19,4009900455299,Type
Skittles,Skittles wild berries,Skittles wild berries,174g,19,4009900463201,Type
Mieszko,"Karamelki nadziewane ""Zozole"" o smaku jablkowym, truskawkowym i wisniowym","""Zozole"" with apple, strawberry and cherry taste and fizzy filling",75g,10,5900353555705,Type
Mieszko,"Karamelki nadziewane ""Zozole"" o smaku cytrynowym i pomarancowym","""Zozole"" with lemon and orane taste and fizzy filling",75g,10,5900353554432,Type
Mieszko,"Karamelki ""Zozole"" o smaku coli z nadzieniem musujacym","""Zozole"" with cola taste and fizzy filling",75g,10,5900353501085,Type
Mieszko,"Wafelek ""Marco polo"" z kremem o smaku toffi bocznie powlekany czekolada","Wafer ""Marco polo"" with toffi taste cream coated in chocolate",40g,5,5900353861028,Type
Mieszko,"Wafelek ""Marco polo classic"" przekladany kremem kakaowym w czekoladzie","Wafer ""Marco polo classic"" with cocoa taste cream coated in chocolate",34g,5,5900353860687,Type
Mieszko,"Wafelek ""Marco polo hazelnut"" przekladany kremem orzechowym w czekoladzie mlecznej","Wafer ""Marco polo hazelnut"" with hazelnut taste cream coated in milk chocolate",34g,5,5900353860953,Type
SM Gostyn,"""Gostynskie mleko"" zageszczone slodzone","Condensed milk in tube ""Gostynskie mleko""",150g,15,5900691032111,Type
SM Gostyn,"""Gostynskie mleko"" zageszczone slodzone kakaowe","Condensed milk in tube ""Gostynskie mleko"" with cocoa taste",150g,15,5900691032128,Type
SM Gostyn,"""Gostynskie mleko"" zageszczone slodzone o smaku karmelowym","Condensed milk in tube ""Gostynskie mleko"" with caramel taste",150g,15,5900691032142,Type
Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem kokosowym w obwodowej polewie kakaowej","Wafer ""Goralki"" with coconut taste cream coated in cocoa",50g,5,8584004041426,Type
Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem z orzechow laskowych w obwodowej polewie kakaowej","Wafer ""Goralki"" with nuts taste cream coated in cocoa",50g,5,8584004041396,Type
Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem kakaowo- czekoladowym w obwodowej polewie kakaowej","Wafer ""Goralki"" intenso hot chocolate",50g,5,8584004041662,Type
Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem mlecznym w obwodowej polewie kakaowej","Wafer ""Goralki"" with milk taste cream coated in cocoa",50g,5,8584004041389,Type
Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem kakaowo- czekoladowym w obwodowej polewie kakaowej","Wafer ""Goralki"" with cocoa-chocolate taste cream coated in cocoa",50g,5,8584004041419,Type
Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem nugatowym w obwodowej polewie kakaowej","Wafer ""Goralki"" with nougat taste cream coated in cocoa",50g,5,8584004041433,Type
Nestle,"Wafel ""Princessa orzechowa"" przekladany orzechowym oblany mleczna czekolada","Wafer layered ""Princessa orzechowa"" with hazelnut cream covered with milk chocolate",37g,5,7613030111146,Type
Nestle,"Wafel ""Princessa orzechowa longa"" przekladany orzechowym oblany mleczna czekolada","Wafer layered ""Princessa orzechowa longa"" with hazelnut cream covered with milk chocolate",49g,6,5900862019309,Type
Nestle,"Wafel ""Princessa kokosowa"" przekladany kokosowym oblany biala czekolada","Wafer layered ""Princessa kokosowa"" with coconut cream covered with white chocolate",36g,5,5900090017504,Type
Nestle,"Wafel ""Princessa kokosowa longa"" przekladany kokosowym oblany biala czekolada","Wafer layered ""Princessa kokosowa longa"" with coconut cream covered with white chocolate",48g,6,5900862024570,Type
Nestle,"Wafel ""Princessa mleczna"" przekladany kremem kakaowym oblany mleczna czekolada","Wafer layered ""Princessa kokosowa"" with cocoa cream covered with milk chocolate",37g,5,7613030110934,Type
Nestle,"Wafel ""Princessa mleczna longa"" przekladany kremem kakaowym oblany mleczna czekolada","Wafer layered ""Princessa kokosowa longa"" with cocoa cream covered with milk chocolate",49g,6,5900862019286,Type
Nestle,"Kakaowy wafel ""Princessa zebra"" przekladany kremem mlecznym","Cocoa wafer ""Princessa zebra"" layered with milk cream",37g,5,7613034805874,Type
Nestle,"Nadziewany wafel ""Lion white"" z karamelem i platkami pszennymi w bialej polewie","""Lion white"" with caramel and wheat coated in white chocolate",42g,6,7613031006267,Type
Nestle,"Nadziewany wafel ""Lion peanut"" z karamelem i platkami pszennymi i orzechami ziemnymi w polewie kakaowej","""Lion peanut"" with caramel, peanuts and wheat coated in cocoa ",40g,6,5900862017886,Type
Nestle,"Nadziewany wafel ""Lion"" z karamelem i platkami pszennymi w polewie kakaowej","""Lion"" with caramel and wheat coated in cocoa",42g,6,5900862018562,Type
Nestle,"Nadziewany wafel ""Lion white"" z karamelem i platkami pszennymi w bialej polewie","""Lion white"" with caramel and wheat coated in white chocolate",60g,10,7613033007583,Type
Nestle,"Paluszek waflowy ""Kit Kat chunky white"" w bialej czekoladzie","""Kit Kat chunky white"" coated in white chocolate",40g,7,3800020423462,Type
Nestle,"Paluszek waflowy ""Kit Kat chunky"" w mlecznej czekoladzie","""Kit Kat chunky"" coated in milk chocolate",40g,7,3800020423578,Type
Nestle,"Paluszek waflowy ""Kit Kat chunky peanut butter"" pokryty kremem arachidowym w mlecznejj czekoladzie","""Kit Kat chunky peanut butter"" with peanut butter taste coated in milk chocolate",42g,7,3800020411162,Type
Goplana,"Wafer ""Grzeski toffi"" przekladany kremem o smaku toffi w czekoladzie mlecznej","Milk chocolate coated wafer bar ""Grzeski toffi"" with toffee flavoured cream",36g,5,5900394006181,Type
Goplana,"Wafer ""Grzeski toffi"" przekladany kremem o smaku toffi w czekoladzie mlecznej","Milk chocolate coated wafer bar ""Grzeski toffi"" with toffee flavoured cream",48g,6,5900394006518,Type
Goplana,"Wafer ""Grzeski orzechowe"" przekladany kremem orzechowym w czekoladzie mlecznej","Milk chocolate coated wafer bar ""Grzeski orzechowe"" with hazelnut cream",36g,5,5900394006204,Type
Goplana,"Wafer ""Grzeski orzechowe"" przekladany kremem orzechowym w czekoladzie mlecznej","Milk chocolate coated wafer bar ""Grzeski orzechowe"" with hazelnut cream",48g,6,5900394007577,Type
Goplana,"Wafel ""Grzeski kakaowe"" przekladany kremem kakaowym","Wafer bar ""Grzeski kakaowe"" with cocoa cream",26g,5,5900394006556,Type
Goplana,"Wafel ""Grzeski kakaowe"" przekladany kremem kakaowym","Wafer bar ""Grzeski kakaowe"" with cocoa cream",34g,6,5900394006570,Type
Goplana,"Wafel ""Grzeski"" przekladany kremem kakaowym w czekoladzie","Wafer bar ""Grzeski kakaowe"" with cocoa cream",36g,5,5900394006167,Type
Goplana,Jezyki kokos,"""Jezyki"" with coconut taste",30g,5,5900352010076,Type
Kinder,"Kakaowy biszkopt ""Delice kakao"" z mlechnym nadzieniem","Cocoa sponge cake ""Delice kakao"" with milk filling",42g,5,80052463,Type
FoodCare,Zelki o smaku napoju FRUGO mocno,"Jelly beans ""Frugo"" with FRUGO drink taste",100g,10,5900552040477,Type
FoodCare,Zelki o smaku napoju FRUGO mocno zielone,"Jelly beans ""Frugo"" with green FRUGO drink taste",100g,10,5900552040453,Type
FoodCare,Zelki o smaku napoju FRUGO mocno czarne,"Jelly beans ""Frugo"" with black FRUGO drink taste",100g,10,5900552040446,Type
FoodCare,Zelki o smaku napoju FRUGO mocno czerwone,"Jelly beans ""Frugo"" with red FRUGO drink taste",100g,10,5900552040460,Type
Emacompany,Waferek z kremem orzechowym i kolorowymi drazami czekoladowymi,Wafer with hazelnut cream and pieces of chocolate,25g,8,8691707090122,Type
Skawa,Orzeszki drazeti,Candy with mint taste,70g,7,5902978002732,Type
Skawa,Draze o smaku smietankowym,Candy with cream taste,70g,7,5902978002374,Type
Mondelez,"Baton ""Big 3Bit"" w czekoladzie mlecznej z nadzieniem mlecznym i herbatnikiem","""Big 3Bit"" with milk cream and biscuits taste coated in chocolate",51g,8,7622300279486,Type
Mondelez,"Baton ""Big 3Bit"" w czekoladzie mlecznej z nadzieniem o smaku orzechowym i herbatnikiem","""Big 3Bit"" with nut cream and biscuits taste coated in chocolate",51g,8,7622300315191,Type
Mondelez,"Ciasto biszkoptowe ""Lubisie mus jabluszkowy"" z nadzieniem jablkowym","Sponge cake ""Lubisie"" with apple filling",30g,5,7622210083920,Type
Mondelez,"Ciasto biszkoptowe ""Lubisie czekoladowe"" z nadzieniem czekoladowym","Sponge cake ""Lubisie"" with chocolate filling",30g,5,5906747309688,Type
Mondelez,"Ciasto biszkoptowe ""Lubisie mus truskawkowy"" z nadzieniem jablkowo- truskawkowym","Sponge cake ""Lubisie"" with apple and strawberry filling",30g,5,7622210083906,Type
Mondelez,"Ciasto biszkoptowe ""Lubisie jogurtowo- bananowym"" z nadzieniem o smaku jogurtowo- bananowym","Sponge cake ""Lubisie"" with yoghurt and banana filling",30g,5,7622210082404,Type
Mondelez,"Ciasto biszkoptowe ""Lubisie mus z owocow lecnych"" z nadzieniem jablek i owocow lesnych","Sponge cake ""Lubisie"" with apple and forest berries filling",30g,5,7622210240583,Type
Wolnosc,"Baton ""Krowka ciagutka"" smietankowa",Bar with cream taste,40g,3,5905082008003,Type
Wolnosc,"Baton ""Krowka ciagutka"" kakaowa",Bar with cocoa taste,40g,3,5905082008096,Type
,CHALWA,HALVA,WEIGHT,"PRICE, DKK",BARCODE,Type
Unitop,Chalwa sezamowa o smaku waniliowym,Sesame halva with vanilla taste,50g,6,5902097150956,Type
Odra,Chalwa sezamowa mleczna,Sesame halva,65g,7,5900278005552,Type
Odra,Chalwa sezamowa z bakaliami,Sesame halva with nuts and raisins,65g,7,5900278008485,Type
E.Wedel,"Chalwa ""Krolewska"" z bakaliami",Halva with raisins,50g,8,5901588067025,Type
E.Wedel,"Chalwa ""Krolewska"" z orzechami",Halva with nuts,50g,8,5901588067049,Type
E.Wedel,"Chalwa ""Krolewska"" o smaku waniliowym z kakao",Halva with vanilla and cocoa taste,50g,8,5901588067056,Type
,CZEKOLADA,CHOCOLATE,WEIGHT,"PRICE, DKK",BARCODE,Type
Milka,Czekolada mleczna z mleka alpejskiego z nadzieniem o smaku jogurtowym,Alpine milk chocolate with yoghurt filling,100g,14,4025700001450,Type
Milka,Czekolada mleczna z mleka alpejskiego z nadzieniem o smaku toffi,Alpine milk chocolate with toffee filling,100g,14,5998711723491,Type
Milka,Czekolada mleczna z mleka alpejskiego z kawalkami orzechow laskowych,Alpine milk chocolate with hazelnuts,100g,14,4025700001023,Type
Milka,Czekolada mleczna z mleka alpejskiego z nadzieniem o smaku malinowym,Alpine milk chocolate with raspberry jam filling,100g,14,7622300530518,Type
Milka,Czekolada mleczna z mleka alpejskiego,Alpine milk chocolate,100g,14,3045140105502,Type
Milka,Czekolada mleczna z mleka alpejskiego z nadzieniem o smaku wisniowym,Alpine milk chocolate with cherry jam filling,100g,14,7622300674595,Type
Milka,Czekolada biala,White chocolate,100g,14,4025700001962,Type
Milka,Czekolada mleczna z mleka alpejskiego z rodzynkami i orzechami,Alpine milk chocolate with raisin & nuts,100g,14,3045140280902,Type
Milka,Czekolada mleczna z mleka alpejskiego z nadzieniem karmelowym,Alpine milk chocolate with caramel filling,100g,14,7622300719654,Type
Milka,Czekolada mleczna z mleka alpejskiego z nadzieniem o smaku truskawkowo- jogurtowym,Alpine milk chocolate with strawberry jam and yoghurt filling,100g,14,7622200007332,Type
Milka,Czekolada mleczna z mleka alpejskiego,Alpine milk chocolate,25g,5,7622210151728,Type
GLOCERY,,,,,,Type
,HERBATKA,TEA,WEIGHT,"PRICE, DKK",BARCODE,Type
Big-Active,"Herbtka czarna z kawatkami owocow ""Cytryna & mango"" (20 szt)","""Cytryna & mango"" flavoured ceylon black tea (20 psc)",40g,23,5907658333397,Type
Big-Active,"Herbatka ziolowo- owocowa o smaku grejpfrut ""Slim plus"" (20 szt)","""Slim plus"" herbal-fruit tea with grapefruit taste (20 psc)",40g,25,5905548353845,Type
Big-Active,Herbatka owocowo- ziolowa o smaku malinowym z acerola (20 szt),Herbal-fruit tea with raspberry and acerola taste (20 psc),45g,23,5907658332383,Type
Big-Active,"Herbata czerwona o smaku grejpfrutowym ""Pu-erh""","Red tea ""Pu-erh"" with grapefruit taste",100g,22,5905548350035,Type
Biofix,Herbatka owocowa aronia z acai (20 szt),Fruit tea with chokeberry and acai taste (20 psc),40g,18,5901483000660,Type
Biofix,Zielona herbatka oryginalna (20 szt),Green tea (20 psc),40g,18,5901483100278,Type
Biofix,"Zielona herbatka oryginalna, lisciasta","Green tea, leaf",100g,20,5901483051129,Type
Biofix,Szalwia herbatka ziolowa (20 szt),Sage herbal tea (20 psc),35g,10,5901483060022,Type
Lipton,Herbata owoce tropikalne (10 szt),Tropical fruits tea (10 psc),18g,13,8712100394089,Type
Lipton,Herbata cytrynowa (10 szt),Lemon tea (10 psc),17g,13,8712100394027,Type
Lipton,Herbata owoce lesne (10 szt),Forest beries tea (10 psc),17g,13,8712100394041,Type
Bastek,Herbata zielona oryginalna (20 szt),Green tea (20 psc),30g,10,5900738000349,Type
Posti,Herbata indyjska granulowana,"Indian tea, granulated",80g,8,5900888010939,Type
Loyd,Herbatka owocowa aromatyzowana o smaku ananasa i gruszki (20 szt),Flavoured fruit tea with pear and pineapple taste (20 psc),40g,18,5900396017277,Type
Loyd,Herbatka owocowa aromatyzowana o smaku maliny i truskawki (20 szt),Flavouted fruit tea with strawberry and raspberry taste (20 psc),40g,18,5900396016164,Type
Loyd,Herbatka zielona aromatyzowana o smaku cytrynowym (20 szt),Flavoured green tea with lemon taste (20 psc),34g,18,5900396016188,Type
Loyd,"""Grzaniec"" kozacki o smaku miodowym (10 szt)","""Mulled wine"" tea with honey taste (10 psc)",30g,18,5900396012784,Type
Loyd,"""Grzaniec"" grzeszny o smaku malinowym (10 szt)","""Mulled wine"" tea with raspberry taste (10 psc)",30g,18,5900396014818,Type
Loyd,"""Grzaniec"" zbojnicki na ogniu (10 szt)","""Mulled wine"" traditional tea (10 psc)",30g,18,5900396010865,Type
Loyd,"""Grzaniec"" smak sliwkowy palony (10 szt)","""Mulled wine"" tea with plum taste (10 psc)",30g,18,5900396012777,Type
Loyd,"Herbata czarna ""Earl Grey"" aromatyzowana lisciata lamana","Black tea ""Earl Grey"" flavoured broken leaf",100g,18,5900396000729,Type
Loyd,"Herbata czarna ""Earl Grey"" aromatyzowana (20 szt)","Black tea ""Earl Grey"" flavoured (20 psc)",30g,8,5900396001184,Type
Loyd,Zielona i biala herbata lisciata aromatyzowana z platkami blawatka o smaku aloe vera,Green and white leaf tea with cornflower petals and aloe vera flavouring,80g,18,5900396014917,Type
Loyd,Herbata zielona lisciasta,Green leaf tea,80g,18,5900396000736,Type
Loyd,Herbata owocowa aromatyzowana o smaku jezyny i jagody (20 szt),Flavoured fruit tea with blackberry and blueberry taste (20 psc),40g,18,5900396016171,Type
Loyd,Herbata owocowa aromatyzowana o smaku dzikiej rozy i jablka (20 szt),Flavoured fruit tea with rosehip and apple (20 psc),40g,18,5900396016157,Type
Loyd,Herbata ziolowa-owocowa aromatyzowana o smaku zurawiny z imbiriem (20 szt),Flavoured herbal-fruit tea with cranberry and ginger (20 psc),40g,18,5900396023056,Type
Loyd,Herbata ziolowa-owocowa aromatyzowana o smaku czarnej porzeczki z kwiatem czarnego bzu (20 szt),Flavoured herbal-fruit tea with blackcurrant and elderberry flower (20 psc),40g,18,5900396022950,Type
Loyd,"Czarna herbata aromatyzowana ""Manuka honey"" z cytryny, rumianku i kardamonu (20 szt)","Flavoured black tea ""Manuka honey"" with lemon, camomile and cardamon (20 psc)",30g,18,5900396022622,Type
Loyd,"Zielona herbata aromatyzowana ""Manuka honey"" z miety i kwiatu pomaranczy (20 szt)","Flavoured green tea ""Manuka honey"" with mint and orange flower (20 psc)",34g,18,5900396022608,Type
,KAKAO/ KAWA,COFFEE/ COCOA,WEIGHT,"PRICE, DKK",BARCODE,Type
Wawel,"""Naturalne kakao"" o obnizonej zawartosci tluszczu do picia, gotowania, pieczenia","Natural cocoa for drinking, cooking and baking",110g,12,5900102016273,Type
La Festa,"""Chocolatta"" hot classico","""Chocolatta"" hot classico",150g,18,5900910001935,Type
La Festa,"""Chocolatta"" hot cherry","""Chocolatta"" hot cherry",25g,3,5900910008255,Type
La Festa,"""Chocolatta"" hot strawberry","""Chocolatta"" hot strawberry",25g,3,5900910008873,Type
La Festa,"""Chocolatta"" hot milky","""Chocolatta"" hot milky",25g,3,5900910008231,Type
Caffetteria Mokate,Cappuccino classic,Cappuccino classic,110g,12,5902891280248,Type
Caffetteria Mokate,Cappuccino czekoladowe,Cappuccino with chocolate taste,110g,12,5902891280224,Type
Caffetteria Mokate,Cappuccino o smaku rumowym,Cappuccino with rum taste,110g,12,5902891280279,Type
Caffetteria Mokate,Cappuccino o smaku waniliowym,Cappuccino with vanilla taste,110g,12,5902891280217,Type
Caffetteria Mokate,Cappuccino o smaku orzechowym,Cappuccino with nuts taste,110g,12,5902891280194,Type
Caffetteria Mokate,Cappuccino z belgijska czekolada,Cappuccino with Belgium chocolate,110g,12,5902891280224,Type
Caffetteria Mokate,Cappuccino o smaku smietankowym,Cappuccino with cream taste,110g,12,5902891280200,Type
Nescafe,Classic,Nescafe Classic,200g,75,7613031918881,Type
Nescafe,"Espresso (25 szt x 1,8g)","Nescafe Espesso (25 psc x 1,8g)",45g,49,3033710076789,Type
Nescafe,3in1 classic,Nescafe 3in1 classic,18g,3,59918257,Type
Nescafe,3in1 brown sugar,Nescafe 3in1 brown sugar,17g,3,7613034025302,Type
Nescafe,3in1 strong,Nescafe 3in1 strong,18g,3,5998710967612,Type
Nestle,Nescore,Nescafe Nescore,260g,75,7613034705754,Type
Jacobs,Cronat gold,Jacobs Cronat gold,500g,64,5901480002445,Type
Master Blender,"Kawa ""Black"" ziarnista, 100% arabica","Coffee beans ""Black"", 100% arabica",500g,90,8711000267271,Type
,KREM DO KAWY,COFFEE CREAMER,WEIGHT,"PRICE, DKK",BARCODE,Type
Caffetteria Mokate,"Krem do kawy ""Carmen"" classic","Coffee creamer ""Carmen"" classic",200g,18,5902891280644,Type
,DETSKA HERBATKA,TEA FOR CHILDREN,WEIGHT,"PRICE, DKK",BARCODE,Type
BoboVita,Herbatka o smaku brzoskwiniowym,Tea with peach taste,200g,69,4008976593294,Type
BoboVita,"Herbatka o smaku melisy, rumianku i lipy","Tea with lemon balm, chamomile and linden taste",200g,69,4008976598329,Type
,KONSERWY RYBNE,FISH CONSERVES,WEIGHT,"PRICE, DKK",BARCODE,Type
Orka,Filety z makreli w oleju aromatyzowanym,Mackerel fillets in flavored oil,170g,16,5908235945019,Type
Pirat,Szprot popularny z oleju,Winter sprats popular smoked,170g,16,5901069004549,Type
Pirat,Filety sledziowe w sosie pomidorowym,Herring fillets in tomato sauce,170g,16,5901069004563,Type
Pirat,Filety sledziowe w oleju,Herring fillets in oil,170g,16,5901069004556,Type
Pirat,Sledz w sosie pomidorowym,Herring in tomato sauce,170g,16,5901069004525,Type
Pirat,Sledz po gdansku w oleju,Herring in oil,170g,16,5901069004532,Type
Graal,Filety ze sledzia w oleju,Herring fillet in oil,170g,16,5903895010220,Type
Graal,Byczki w sosie pomidorowym,"""Byczki"" in tomatoe sauce",300g,29,5903895010473,Type
Losos,Szprot popularny z oleju,Winter sprats popular smoked,170g,24,5901069000442,Type
Neptun,Filety sledziowe w zlocistym oleju,Herring fillet in golden oil,170g,16,5900653080006,Type
Neptun,Filety z makreli w zlocistym oleju,Mackerel fillets in golden oil,170g,23,5900653080020,Type
Statesman,Tunczyk rozdrobniony w oleju slonecznikowym,Tuna dispersed in sunflower oil,185g,21,5000232247605,Type
Statesman,Tunczyk rozdrobniony w wodzie,Tuna dispersed in water,185g,21,5000232247704,Type
,OCET,VINEGAR,WEIGHT,"PRICE, DKK",BARCODE,Type
Kamis,Kamis ocet z polskich jabłek,Kamis vinegar from polish apples,250ml,23,5900084198905,Type
Kamis,Kamis oceat jabłkowy staroploski,"Kamis vinegar from apples ""satroploski""",250ml,23,5900084224048,Type
Kamis,Kamis ocet winy z czerwonego wina,Kamis vinegar from red wine,250ml,23,5900084098014,Type
Kamis,Kamis ocet winnyz baiłęgo wina,Kamis viengar from white wine,250ml,23,5900084097017,Type
,OLEJ,OIL,WEIGHT,"PRICE, DKK",BARCODE,Type
Basso,Basso olej z ryżu,"""Basso"" rice bran oil",500ml,53,8004123006736,Type
Kujawski,Kujawski  olej czosnkowy,"""Kujawski"" garlic oil",250ml,26,5900012004827,Type
Kujawski,Kujawski olej bazylia,"""Kujawski"" basil oil",250ml,26,5900012004834,Type
Kujawski,Kujawski olej cytryna i bazylia,"""Kujawski"" lemon and basil oil",250ml,26,5900012006357,Type
,KONSERWY MIĘSNE,MEAT CONSERVES,WEIGHT,"PRICE, DKK",BARCODE,Type
Spichlerz Rusiecki,Podwawelska kiełbasa,"Sausage ""Podwawelska""",280g,30,5901874901002,Type
Krakus,Golonkowa,Pork knuckle,300g,30,5900244010023,Type
Krakus,Gulasz angielski,English stew,300g,29,5900244010030,Type
Krakus,Wieprzowina w sosie własym,Pork in gravy,300g,29,5900244010054,Type
Krakus,Boczek wieprzowy,Pork,300g,28,5900244000505,Type
Krakus,Luksusowa mielonka wieprzowa,Luxury pork meat,300g,29,5900244010047,Type
Sokolow,Golonka wieprzowa,Pork knuckle,300g,30,5900562432248,Type
Agrovita,Konserwa Krakowska,"Can ""Krakowska""",400g,15,5906764002029,Type
Konserwa turystyczna,Konserwa turystyczna wieprzowo-drobiowa,Can of pork and poultry for tourist,300g,15,5904595000405,Type
EvraMeat,Konserwa turystyczna,Can fo tourist,300g,17,5908241636956,Type
EvraMeat,Konserwa tyrolska,Can tyrolean,300g,17,5908241636963,Type
Konserwa tyrolska,Konserwa tyrolska wieprzowo-drobiowa,Can tyrolean of port and poultry,300g,12,5904595005011,Type
Konserwa turolska,Konserwa tyrolska,Can tyrolean,300g,17,590676400407,Type
Gratka,Gratka dla całej rodziny konserwa z golonką,Can with pork knuckle,300g,20,5900562492143,Type
Pamapol,Wołowina w sosie własnym,Beef in gravy,300g,29,5907501011366,Type
Agrovita,Szynka drobiowa,Ham poultry,110g,10,5906764000308,Type
Agrovita,Szynka wieprzowa mielona,Grounded pork ham,110g,10,5906764000292,Type
Drosed,Szynka z indykiem,Turkey ham,110g,10,5901204006322,Type
Drosed,Szynka z kurcząt,Ham with chickens,110g,10,5901204006315,Type
Gulasz angielski,Gulasz angielski,English stew,300g,27,5904595000900,Type
EvraMeat,Miaso Luncheon,Meat Luncheon,300g,12,5908241636857,Type
EvraMeat,Przysmak śniadaniowy,"Breakfast ""Delight""",300g,12,5908241636864,Type
Mielonka wieprzowo-drobiowa,Mielonka wieprzowo-drobiowa,Minced pork and poultry,300g,27,5904595000832,Type
,PASZTET,PATE,WEIGHT,"PRICE, DKK",BARCODE,Type
Lisner,"Pasta ""Pastella"" z lososia ze szczypiorkiem","Pate ""Pastella"" from salmon with chives",80g,8,5900344035278,Type
Lisner,"Pasta ""Pastella"" z tunczyka","Pate ""Pastella"" from tuna",80g,8,5900344035018,Type
Lisner,"Pasta ""Pastella"" z tunczyka z pomidorami","Pate ""Pastella"" from tuna and tomato",80g,8,5900344801613,Type
Lisner,"Pasta ""Pastella"" jajeczna ze szczypiorkiem","Pate ""Pastella"" from egg with chives",92g,8,5900344035100,Type
Lisner,"Pasta ""Pastella"" jajeczna z bekonem","Pate ""Pastella"" from egg with bacon",92g,8,5900344801620,Type
Profi,Wielkopolski pasztet z drobiem firmowy,Pate from poultry,50g,5,5901696000525,Type
Profi,Wielkopolski pasztet z drobiem firmowy,Pate from poultry,250g,14,5901696000327,Type
Profi,Wielkopolski pasztet z drobiem firmowym,Pate from poultry,131g,10,5901696000013,Type
Profi,Wielkopolski pasztet z drobiem i pomidorami,Pate from poultry with tomatoes,50g,5,5901696000532,Type
Profi,Wielkopolski pasztet z drobiem i pomidorami,Pate from poultry with tomatoes,250g,14,5901696001058,Type
Profi,Wielkopolski pasztet z indykiem,Pate from turkey,131g,10,5901696000099,Type
Profi,Wielkopolski pasztet z indykiem,Pate from turkey,250g,14,5901696010180,Type
Profi,Wielkopolski pasztet z drobiem i papryką,Pate from poultry and pepper,131g,10,5901696000020,Type
Profi,Wielkopolski pasztet z drobiem i papryką,Pate from poultry and pepper,250g,14,5901696010173,Type
Profi,Wielkopolski pasztet z drobiem pikantny,Pate from poultry chilli,131g,10,5901696010869,Type
Profi,Wielkopolski pasztet z drobiem i pieczarkami,Pate from poultry and mushrooms,131g,10,5901696000068,Type
Profi,Wielkopolski pasztet z drobiem i szczypiorkiem,Pate from poultry and chives,131g,10,5901696010845,Type
Profi,Wielkopolski pasztet z drobiem i cebulą,Pate from poultry and onion,131g,10,5901696010838,Type
Profi,Wielkopolski pasztet z drobiem i zielonym pieprzem,Pate from poultry and green onion,131g,10,5901696000105,Type
Profi,Wielkopolski pasztet z drobiem i koperkiem,Pate from poultry and dill,131g,10,5901696000044,Type
Profi,Wielkopolski pasztet z gęsią,Pate from goose,131g,10,5901696000730,Type
Profi,Wielkopolski pasztet z drobiem i czosnkiem,Pate from poultry and garlic,131g,10,5901696000037,Type
Profi,Wielkopolski pasztet z drobiem i majerankiem,Pate from poultry and marjoram,131g,10,5901696000075,Type
Profi,"Wielkopolski pasztet z drobiem, oliwkami i kaparami","Pate from poultry, olives and capers",131g,10,5901696011019,Type
Profi,Wielkopolski pasztet drobiowy z blonnikiem,Pate from poultry with fiber,131g,10,5901696010982,Type
Profi,"Wielkopolski pasztet z drobiem, z suszonymi pomidorami i bazylia","Pate from poultry, dried tomatoes and basil",131g,10,5901696010852,Type
Drosed,Podlaski pasztet drobiowy,Chicken pate,200g,12,5901204009569,Type
,KECZUP/ PRZECIER POMIDOROWY,KETCHUP/ TOMATO PUREE,WEIGHT,"PRICE, DKK",BARCODE,Type
Łowicz,Łowicz koncentrat pomidorowy,Łowicz tomato puree,70g,5,5900397017481,Type
Dawtona,Dawtona koncentrat pomidorowy,Dawtona tomato puree,70g,5,5901713000019,Type
Ketchup,Familijny ketchup łagodny,Family mild ketchup,500g,25,5908235940083,Type
Hellmann's,Hellmann's ketchup łagodny,Hellmann's mild ketchup,450g,24,8712100393334,Type
Hellmann's,Hellmann's ketchup pikantny,Hellmann's spicy ketchup,450g,24,8712100393297,Type
Kotlin,Ketchup lagodny (60% mniej kalorii),Mild ketchup (60% less calories),450g,19,5900385500148,Type
Kotlin,Ketchup lagodny,Mild ketchup,450g,19,5900385012573,Type
Kotlin,Ketchup czosnek-bazylia,Ketchup with garlic and basil,450g,19,5900385000075,Type
Kotlin,Ketchup pikantny,Hot ketchup,450g,19,5900385012528,Type
,MUSZTARDA,MUSTARD,WEIGHT,"PRICE, DKK",BAROCODE,Type
Kamis,Kamis musztarda strong z chili ciętym,"Mustard ""Strong"" with chilli",185g,13,5900084241809,Type
Kamis,Kamis musztarda ognista ostra,"Mustard ""Fire"", hot",185g,13,5900084229630,Type
Kamis,Kamis musztarda dijon bardzo ostra,"Mustard ""Dijon"", very hot",185g,13,5900084229609,Type
Kamis,Kamis musztarda miodowa łagodna,"Mustard with honey, mild",185g,13,5900084229548,Type
Kamis,Kamis musztarda delikatesowa łagodna,"Mustard ""Gourmet"", mild",185g,13,5900084229456,Type
Kamis,Kamis musztarda rosyjska bardzo ostra,"Mustard ""Russian"", very hot",185g,13,5900084229425,Type
