ALCOHOL DRINKS,,,,,,
,PIWO,BEER,WEIGHT,"PRICE, DKK",BARCODE,Type
Żywiec Zdrój,Żywiec Zdrój zakręcona cytryna,Zywiec Zdroj Lemon,500ml,8.5,5900541000406,Type
Muszynianka,"Naturalna woda mineralna, magnezowo-wapniowa",Natural mineral water with magnium and calcium,"1,5L",9,5901520000042,Type
,SMAKOWE NAPOJE GAZOWANE,FLAVOURED CARBONATED DRINKS (pant price is NOT included),WEIGHT,"PRICE, DKK",BARCODE,Type
Mirinda,Mirinda napój gazowany o smaku pomarańczowym,Mirinda fizzy drink with orange flavor,2l,19,5900497332002,Type
Mirinda,Mirinda napój gazowany o smaku pomarańczowym,Mirinda fizzy drink with orange flavor,"1,5l",14,,Type
Żywiec Zdrój,Zywiec Zdroj gaz z sokiem z cytryn,"Carbonated water ""Zywiec Zdroj"" with lemon juice",500ml,8.5,5900541003902,Type
Żywiec Zdrój,Zywiec Zdroj gaz z sokiem z cytryn,"Carbonated water ""Zywiec Zdroj"" with lemon juice",1L,12,5900541003933,Type
Hellena,"Napoj gazowany ""Oranzada biala"" ","Carbonated drink ""White soda""",400ml,8.5,5900352013695,Type
Hellena,"Napoj gazowany ""Oranzada czerwona"" ","Carbonated drink ""Red soda""",400ml,8.5,5900352011950,Type
,SOKI,JUICES,WEIGHT,"PRICE, DKK",BARCODE,Type
,Soki butelkowane plastikowe,Juice Bottles (plastic) (pant price is NOT included),,,,Type
Tymbark,Tymbark jabłko gruszka,Tymbark apple and pear,2l,13,5900334001566,Type
Tymbark,Tymbark jabłko czerwona porzeczka,Tymbark apple and redcurrant,2l,13,5900334007490,Type
Tymbark,Tymbark jabłko brzoskwinia,Tymbark apple and peach,2l,13,5900334006264,Type
Tymbark,Tymbark wiśnia jabłko,Tymbark cherry and apple,2l,13,5900334006233,Type
Tymbark,Tymbark jabłko mięta,Tymbark apple and mint,2l,13,5900334006233,Type
Tymbark,Tymbark białe winogrono,Tymbark white grape,2L,13,5900334006233,Type
Kubuś,Kubuś marchew jabłko pomarańcz,Kubus carrot apple orange,900ml,13.5,5901067446075,Type
Kubuś,Kubuś banan jabłko brzoskwinia,Kubus banana apple peach,900ml,13.5,5901067454070,Type
Kubuś,Kubuś marchew zielony banan jabłko kiwi,Kubus carrot green banana apple kiwi,900ml,13.5,5901067484039,Type
Kubuś,Kubuś banan marchew jabłko,Kubus banana carrot apple,900ml,13.5,5901067451079,Type
Kubuś,Kubuś marchew brzoskwinia jabłko,Kubus carrot peach apple,900ml,13.5,5901067455077,Type
Kubuś,Kubuś marchew malina jabłko,Kubus carrot raspberry apple,900ml,13.5,5901067447072,Type
Kubuś,Kubuś play arbuz mega frut,Kubus play watermelon mega frut,400ml,8.5,5901067401074,Type
Kubuś,Kubuś play marchew jabłko czerwona pomarańcza limetka,Kubus play carrot apple red orange lime,400ml,8.5,5901067472012,Type
Kubuś,Kubuś play multi mega frut witamina,Kubus play multi meag frut vitamin,400ml,8.5,5901067400220,Type
Kubuś,Kubuś play czereśnia marchew,Kubus play cherry carrot,400ml,8.5,5901067471015,Type
Kunuś,Kubuś play marchew jabłko truskawka limetka,Kubus play carrot apple strawberry lime,400ml,8.5,5901067472012,Type
Frugo,Frugo mocno zielone,Frugo green,900ml,20.5,5900552053095,Type
Frugo,Frugo mocnopomarańczowe,Frugo orange,900ml,20.5,5900552053118,Type
Frugo,Frugo mocno czarne,Frugo black,500ml,8.5,5900552053163,Type
Frugo,Frugo original aloe vera,Frugo original aloe vera,500ml,8.5,5900552054726,Type
Frugo,Frugo woda z sokiem z cytryny,Frugo lemon juicy water,500ml,8.5,5900552053927,Type
Frugo,Frugo woda z sokiem truskawkowym,Frugo strawberry juicy water,500ml,8.5,5900552053903,Type
Hortex,Multiwitamina 100%,Multifruit juice 100%,1L,12,5900500031533,Type
,Soki butelkowane szklane,Juice Bottles (glass) (pant price is NOT included),,,,Type
Frugo,Frugo mocno żółte,Frugo yellow,250ml,7,5900552039099,Type
Frugo,Frugo mocno czerwone,Frugo red,250ml,7,5900552039075,Type
Frugo,Frugo mocno czarne,Frugo black,250ml,7,5900552035251,Type
Frugo,Frugo mocno pomarańczowe,Frugo orange,250ml,7,5900552035312,Type
Frugo,Frugo mocno zielone,Frugo green,250ml,7,5900552035275,Type
Tymbark,Tymbark jabłko brzoskwinia,Tymbark apple peach,250ml,6,5900334000828,Type
Tymbark,Tymbark cytryna mięta,Tymbark lemon mint,250ml,6,5900334000798,Type
Tymbark,Tymbark jabłko wiśnia,Tymbark apple cherry,250ml,6,5900334000880,Type
Tymbark,Tymbark pomarańcza brzoskwinia,Tymbark orange peach,250ml,6,5922334000835,Type
Tymbark,Tymbark malina mięta,Tymbark raspberry mint,250ml,6,5900334000767,Type
Kubus,Kubuś marchew jabłko pomarańcza,Kubus carrot apple orange,300ml,5,5901067446020,Type
Kubus,Kubuś marchew malina jabłko,Kubus carrot raspberry apple,300ml,5,5901067447027,Type
Kubus,Kubus marchew brzoskwinia jabłko,Kubus carrot peach apple,300ml,5,5901067455022,Type
,Soki w kartonach,Juice in carton,,,,Type
Hortex,Vitaminka banan marchewka jabłko,Vitaminka banana carrot apple,1l,15,5900500030222,Type
Hortex,Vitaminka and Superfruits acerola granat marchewka jabłko,Vitaminka and Superfruits acerola grenade carrot apple,1l,15,5900500028809,Type
Hortex,Vitaminka malina marchewka jabłko,Vitaminka raspberry carrot apple,1l,15,5900500028823,Type
Hortex,Vitaminka and Superfruits mango marakuja marchewka jabłko,Vitaminka and Superfruits mango marakuja carrot apple,1l,15,5900500030185,Type
Hortex,Vitaminka marchewka,Vitaminka carrot,1l,15,5900500023163,Type
Hortex,Vitaminka truskawka marchewka jabłko,Vitaminka strawberry carrot apple,1l,15,5900500028847,Type
Hortex,Wisnia nektar,Cherry nectar,1l,15,5900500024283,Type
Hortex,Pomarancza brzoskwinia,Orange and peach juice,1l,15,5900500027857,Type
Hortex,Zlote jablko z delikatnym miazszem (100% sok),Golden apple juice with pulp (100% juice),1l,15,5900500028519,Type
Hortex,Wieloowocowy nektar,Mixed fruit nectar,1l,15,5900500027895,Type
Hortex,Greipfrut nektar,Grapefruit nectar,1l,15,5900500029714,Type
Hortex,Czarna porzeczka nektar,Black currant nectar,1l,15,5900500024276,Type
Hortex,Pomidor (100% sok),Tomatoe juice (100% juice),1l,15,5900500024368,Type
Hortex,Pomarancza (100% sok),Orange juice (100% juice),1l,15,5900500024290,Type
Hortex,Jablko gtuszka z delikatnym miaszem (100% sok),Apple and pear juice with pulp (100% juice),1l,15,5900500030932,Type
Hortex,Jablko (100% sok),Apple juice (100% juice),1l,15,5900500024337,Type
