FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,
FRAVIL,Gem de visine,Sour cherry jam,300g,"15,-",5 941334 007394,CANS AND JARS
RAURENI,Gogosari umpluti cu conopida,Pepper stuffed with cauliflower (big jar),1600 g,"40,-",6 426238 950018,CANS AND JARS
RAURENI,"Gem asortat de prune , piersici, caise, mere, pere",Mixed jam ,370g,"15,-",5 941865 004800,CANS AND JARS
FRAVIL,Gem de piersici,Apricot jam,370g,"15,-",5 941865 000727,CANS AND JARS
CEGUSTO,Compot de caise,Peach jam,720g,"22,-",5 941028 000144,CANS AND JARS
SAHA PRIMA,Compot de struguri,Grape jam,720g,"25,-",5 941028 000274,CANS AND JARS
SAHA PRIMA,Compot de piersici intregi nedepilate,Jam of integral unpealed apricot,700g,"18,-",5 941865 000574,CANS AND JARS
SAHA PRIMA,Compot de visine,Sour cherry jam,720g,"22,-",5 941863 000767,CANS AND JARS
OLYMPIA,Ardei capia decojit,Pealed paprika,980 g,"25,-",8 697400 272568,CANS AND JARS
RAURENI,Gogosari in otet,Paprika in vinegar,1 kg,"25,-",8 697400 272070,CANS AND JARS
RAURENI,Ardei iute in otet,Hot peppers in vinegar,370 ml,"15,-",8 697400 271639,CANS AND JARS
,Bors,Bors,1 l,"15,-",5 941466 014611,CANS AND JARS
FRAVIL,Otet de mere cu miere,Apple vinegar with honey,500 ml,"15,-",5 941028 008089,CANS AND JARS
FRAVIL,Otet de visine,Sour cherry vinegar,500 ml,"15,-",5 941028 008065,CANS AND JARS
,Otet din vin alb,White wine vinegar,1 l,"15,-",5 941028 111048,CANS AND JARS
,Mancare de fasole,Beans stew,300 g,"15,-",5 941865 000420,CANS AND JARS
RAURENI,Tocana de legume,Vegetable mix,300 g,"15,-",5 942865 000444,CANS AND JARS
,Fasole galbena – pastai in saramura,Yellow beans in saramura,720 g,"18,-",5 941865 001724,CANS AND JARS
,Spanac in saramura,Spinach in saramura,700 g,"18,-",5 941865 001137,CANS AND JARS
,Conopida in otet,Cauliflower in vinegar,700 g,"23,-",5 941028 002537,CANS AND JARS
,Zarzavat de ciorba,Vegetables for soup,700 g,"20,-",5 941028 001929,CANS AND JARS
