FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,
MANDY FOODS,Bucegi - pate de pui,Bucegi - Chicken pate,100 g,"8,-",,PATE
,Bucegi - pate de porc,Bucegi - Pork pate,200 g,"16,-",,PATE
,Sadu - pate de porc,Sadu - Porc pate,300 g,"19,-",,PATE
,Pate vegetal original,Original vegetal pate,120 g,"8,-",5 941334 002122,PATE
,Pate vegetal original,Original vegetal pate,200 g,"12,-",5 941334 000968,PATE
,Pate vegetal cu masline,Vegetal pate with olives,120 g,"8,-",5 941334 002207,PATE
,Pate vegetal cu masline,Vegetal pate with olives,200 g,"12,-",5 941334 002214,PATE
,Pate vegetal cu spanac,Vegetal pate with spinach,120 g,"8,-",5 941334 002221,PATE
,Pate vegetal cu spanac,Vegetal pate with spinach,200 g,"12,-",5 941334 002238,PATE
,Pate vegetal cu ciuperci,Vegetal pate with mushrooms,120 g,"8,-",5 941334 002184,PATE
,Pate vegetal cu ciuperci,Vegetal pate with mushrooms,200 g,"12,-",5 941334 002191,PATE
,Pate vegetal cu ardei gras,Vegetal pate with sweet pepper,120 g,"8,-",5 941334 003501,PATE
,Pate vegetal cu ardei gras,Vegetal pate with sweet pepper,200 g,"12,-",5 941334 003518,PATE
,Pate de porc (picant),Pork pate (spicy),200 g,12.-,,PATE
,Pate de porc (picant),Pork pate (spicy),120 g,"8,-",5 941334 001873,PATE
,Retete Libaneze - Hummus cu Tahini,Lebanese Recipes - Hummus with Tahini,200 g,"12,-",5 941334 005482,PATE
,Pate ton,Tuna pate,145 g,"15,-",5 941334 007905,PATE
,Pate macrou,Makrel pate,145 g ,"15,-",5 941334 007912,PATE
BUCEGI,Pate somon,Salmon pate,145 g,"15,-",5 941334 007899,PATE
SCANDIA SIBIU,Pate de pui,Chicken pate,200 g,"12,-",5 941334 000036,PATE
CRIS-TIM,Pate de pui,Chicken pate,120 g,"8,-",5 941334 001866,PATE
,Pate de porc ,Pig pate,110 g,"10,-",5 941341 000050,PATE
MANDY FOODS,Pate de pui integral,Integral chicken pate,120 g,"12,-",5 941341 002283,PATE
,Produs vegetal tartinabil cu ceapa verde,Spreadable and vegetable cream with spring onion,150 g,"15,-",,PATE
,ZACUSCA,VEGETABLE STEW,,,,
,Zacusca picanta,Spicy stew,300 g,"17,-",5 941334 000609,VEGETABLE STEW
RAURENI,Zacusca cu ciuperci,Mushrooms stew,300 g,"17,-",5 941334 000623,VEGETABLE STEW
,Zacusca taraneasca,Rustic stew,300 g,"17,-",5 941334 002818,VEGETABLE STEW
CONSERVFRUCT,Zacusca traditionala,Traditional stew,300 g,"17,-",5 941334 000593,VEGETABLE STEW
,Zacusca picanta,Spicy zacusca,300 g,"20,-",5 941028 004272,VEGETABLE STEW
,Zacusca taraneasca,Rustic zacusca,300 g,"20,-",5 941028 003978,VEGETABLE STEW
CONTEC FOODS,Zacusca de legume cu ciuperci,Mushrooms stew,300 g,"17,-",,VEGETABLE STEW
,Zacusca de legume cu fasole,Beans stew,300 g,"17,-",5 941863 002761,VEGETABLE STEW
,Zacusca de legume cu vinete,Aubergines stew,300 g,"17,-",,VEGETABLE STEW
,Olympia - Zacusca de vinete coapte,Olympia - Aubergines stew,300 g,"20,-",,VEGETABLE STEW
,Olympia - Zacusca de ciuperci,Olympia – Mushrooms stew,300 g,"20,-",5 941466 008191,VEGETABLE STEW
MANDY FOODS,Olympia - Zacusca de fasole,Olympia - Beans stew,300 g,"20,-",,VEGETABLE STEW
,Olympia - Zacusca picanta,Olympia - Spicy stew,300 g,"20,-",,VEGETABLE STEW
,MAIONEZA,MAYONNAISE,,,,
CRIS-TIM,Maioneza cu ou,Egg mayonnaise,280 g,"15,-",5 941334 007677,MAYONNAISE
,Maioneza vegetala,Vegetable mayonnaise,280 g,"15,-",5 941334 007684,MAYONNAISE
CONTEC FOODS,MUSTAR,MUSTARD,,,,
,Mustar clasic,Classic mustard,280 g,"15,-",,MUSTARD
,Mustar cu bobite,Mustard with grains,280 g,"15,-",,MUSTARD
,Olympia - Mustar din Tecuci cu boabe,Olympia - Tecuci mustard with grains,300 g,"15,-",,MUSTARD
,Olympia - Mustar din Tecuci hrean,Olympia - Tecuci mustard with horseradish,301 g,"15,-",,MUSTARD
,Olympia - Mustar din Tecuci clasic,Olympia - Classic Tecuci mustard,302 g,"15,-",,MUSTARD
,Olympia - Mustar din Tecuci miere,Olympia - Tecuci mustard with honey,303 g,"15,-",,MUSTARD
UBOLDI,Olympia - Mustar din Tecuci dulce,Olympia - Sweet Tecuci mustard,304 g,"15,-",,MUSTARD
CRIS-TIM,Olympia - Mustar din Tecuci iute,Olympia - Spicy Tecuci mustard,305 g,"15,-",,MUSTARD
,De la Cris-Tim - Mustar inte,,280g,"12,-",5941265014843,MUSTARD
,De la Cris-Tim - Mustar cu hrean,,280g,"12,-",5941265014836,MUSTARD
,De la Cris-Tim - Mustar cu bobite,,280g,"12,-",5941265014867,MUSTARD
,PRODUSE CONGELATE,FROZEN PRODUCTS,,,,
,Burta de vita prefiarta fideluta,Boiled chopped beef tripe,1 kg,"39,-",5 949070 400035,FROZEN PRODUCTS
,Carnati de porc grosi,Big pork sausages,,"75,- / Kg",NO BC ON PRODUCT,FROZEN PRODUCTS
,Carnati de porc in mat de oaie,Pork sausages in sheep mat,,"45,-",NO BC ON PRODUCT,FROZEN PRODUCTS
,Carne tocata porc,Hacked pork,900 g,"40,-",,FROZEN PRODUCTS
KANDIA DULCE,Mici extra,Mici extra,900 g,"55,-",5 949070 400035,FROZEN PRODUCTS
,Matache Macelaru – Mici,Mici – Matache Macelaru,900 g,"55,-",5 941265 000176,FROZEN PRODUCTS
Tip Top food industry,Bonito - Placinta cu douleac,,925g,"40,-",5941540007737,FROZEN PRODUCTS
,Bonito - Placinta cu carne,,925g,"40,-",5941540007942,FROZEN PRODUCTS
,Bonito - Placinta cu spanac,,925g,"40,-",5941540007744,FROZEN PRODUCTS
,Bonito - Placinta cu branza,,925g,,5941540004699,FROZEN PRODUCTS
,PRAJITURI SI PRODUSE DE PATISERIE,COOKIES AND PASTRIES,,,,
,Magura – ciocolata si vanilie,Magura – Chocolate and vanilla,35 g,"5,-",5 941047 826763,COOKIES AND PASTRIES
,Magura – iaurt si zmeura,Magura – Yogurt and raspberry,35 g,"5,-",5 941047 826794,COOKIES AND PASTRIES
,Prajitura Magura cu Alune,Magura – Cake with Nuts,35 g,"5,-",5 941047 820563,COOKIES AND PASTRIES
BOROMIR,Prajitura Magura cu Rom,Magura – Cake with Rum,35 g,"5,-",5 941047 813947,COOKIES AND PASTRIES
,Prajitura Magura cu Capsuni,Magura – Cake with Strawberries,35 g,"5,-",5 941047 814036,COOKIES AND PASTRIES
