ALCOHOL DRINKS,,,,,,
Cris-Tim,Matache Macelaru – Barnati oltenesti,Smoked sausages,300 g,30,5941265014225,Type
Cris-Tim,Bacon,Bacon,,110,,Type
Cris-Tim,Piept pui,Chicken fillet,,110,,Type
Cris-Tim,Gusa afumata,Goiter smoked,,75,,Type
Cris-Tim,Carnati bucovineni,Bucovina sausages,,75,,Type
Cris-Tim,Carnati Cabanos,Cabanos sausages,,85,,Type
Cris-Tim,Carnati Cabanos,Cabanos sausages,300 g,30,5941265015673,Type
Cris-Tim,Carnati semiafumati,Smoked sausages,450 g,40,5941265006817,Type
Cris-Tim,Mini salam Sasesc,Sasesc mini salami,350 g,45,5941265000419,Type
Cris-Tim,Salam de vara,Summer sausage,300 g,30,5941265000464,Type
Cris-Tim,Salam de porc,Pork salami,500 g,40,5941265011439,Type
Cris-Tim,Salam uscat,Dry salami,350 g,35,5941265009276,Type
Cris-Tim,Salam uscat de vara,Dry salami – summer,300 g,30,5941265016526,Type
Cris-Tim,Salam Victoria Mini,Mini-salami Victoria,400 g,30,5941265000228,Type
Cris-Tim,Salam ardelenesc,Ardeal salamy,280 g,35,5941265013419,Type
Cris-Tim,Salam banatean,Banat salami,340 g,38,5941265002840,Type
Cris-Tim,"Salam de Vara Uscat ""Gostat""",Dry salami - summer,300 g,39,5941265021575,Type
Cris-Tim,Mini parizer cu pui,Mini chicken rosy sausage,500 g,40,5941265000167,Type
Cris-Tim,Muschi file afumat,Smoked fillet,,100,,Type
Cris-Tim,Kaizer afumat,Smoked bacon,,100,,Type
Cris-Tim,Sunculita taraneasca afumata,Peasant smoked ham,,100,,Type
Cris-Tim,Costita afumata extra,Smoked ribs,,100,,Type
Cris-Tim,Jumari de porc,Pork cracklings,200 g,22,,Type
Cris-Tim,Leber,Leber,,19,,Type
Cris-Tim,Caltabos,Caltabos,,19,,Type
Cris-Tim,Slanina afumata,Smoked bacon,,75,,Type
GROCERY,,,,,,Type
,PATE,PATE,WEIGHT,"PRICE, DKK",BARCODE,Type
Mandy Foods,Pate vegetal original,Original vegetal pate,120 g,8,5941334002122,Type
Mandy Foods,Pate vegetal original,Original vegetal pate,200 g,12,5941334000968,Type
Mandy Foods,Pate vegetal cu masline,Vegetal pate with olives,120 g,8,5941334002207,Type
Mandy Foods,Pate vegetal cu masline,Vegetal pate with olives,200 g,12,5941334002214,Type
Mandy Foods,Pate vegetal cu spanac,Vegetal pate with spinach,120 g,8,5941334002221,Type
Mandy Foods,Pate vegetal cu spanac,Vegetal pate with spinach,200 g,12,5941334002238,Type
Mandy Foods,Pate vegetal cu ciuperci,Vegetal pate with mushrooms,120 g,8,5941334002184,Type
Mandy Foods,Pate vegetal cu ciuperci,Vegetal pate with mushrooms,200 g,12,5941334002191,Type
Mandy Foods,Pate vegetal cu ardei gras,Vegetal pate with sweet pepper,120 g,8,5941334003501,Type
Mandy Foods,Pate vegetal cu ardei gras,Vegetal pate with sweet pepper,200 g,12,5941334003518,Type
Mandy Foods,Pate de porc (picant),Pork pate (spicy),200 g,12,5941334000029,Type
Mandy Foods,Pate de porc (picant),Pork pate (spicy),120 g,8,5941334001873,Type
Mandy Foods,Retete Libaneze - Hummus cu Tahini,Lebanese Recipes - Hummus with Tahini,200 g,12,5941334005482,Type
Mandy Foods,Pate ton,Tuna pate,145 g,15,5941334007905,Type
Mandy Foods,Pate macrou,Makrel pate,145 g,15,5941334007912,Type
Mandy Foods,Pate de pui integral,Integral chicken pate,120 g,12,5941341002283,Type
Mandy Foods,Pate de pui,Chicken pate,120 g,8,5941334001866,Type
Mandy Foods,Pate de porc,Pig pate,110 g,10,5941341000050,Type
Mandy Foods,Pate somon,Salmon pate,145 g,15,5941334007899,Type
Bucegi,Pate porc,Pork pate,120 g,8,5941341022526,Type
Bucegi,Pate porc,Pork pate,200 g,16,5941341000043,Type
