,,,,,,
SWEET PRODUCTS,,,,,,
Родные Просторы,"Печенье ""Лакомка""","Biscuits ""Lakomka""",330g,27,4260130031121,Type
К.И.О. Кондитерское Объединение,"Печенье ""Карамелька""","Biscuit ""Карамелька"" (""Caramel"")",255g,15,4607021097833,Type
К.И.О. Кондитерское Объединение,"Печенье ""Молочная деревушка"" творожное","Biscuit ""Mолочная деревушка"" with cottage cheese",260g,15,4607021093545,Type
К.И.О. Кондитерское Объединение,"Печенье ""Молочная деревушка"" на сгушенном молоке","Biscuit ""Mолочная деревушка"" with condensed milk",260g,15,4607021093521,Type
К.И.О. Кондитерское Объединение,"Печенье ""Сгущённое молоко""","Biscuit ""Cгущённое молоко"" with condensed milk",195g,15,4607021098625,Type
К.И.О. Кондитерское Объединение,"Печенье ""Кружева Василиси""","Biscuits ""Кружева Василиси""",270g,16,4607021093507,Type
К.И.О. Кондитерское Объединение,Печенье творожное,Cotagge cheese biscuits,260g,15,4607021095150,Type
К.И.О. Кондитерское Объединение,"Печенье ""Топтыжкина радость""","Biscuits ""Joy of Toptyzhka""",250g,13,4607021093606,Type
К.И.О. Кондитерское Объединение,"Творожное печенье с суфле ""Праздник к чаю""","Cottage cheese biscuits with souffle ""Feast for tea""",215g,19,4607021096355,Type
К.И.О. Кондитерское Объединение,"Печенье ""Слободка шахматная""",Biscuits,350g,16,4607021095327,Type
К.И.О. Кондитерское Объединение,"Печенье ""Слободка целинная""",Biscuits,500g,23,4607021095310,Type
К.И.О. Кондитерское Объединение,Печенье на топленом молоке,Biscuits on melted milk,390g,19,4607021092005,Type
К.И.О. Кондитерское Объединение,"Печенье ""Сахарок""","Biscuits ""Sugar""",380g,17,4607021096034,Type
К.И.О. Кондитерское Объединение,"Печенье ""Задумка"" с кремом вареной сгущенки","Biscuits ""Idea"" with boiled condensed milk cream",200g,13,4607021099080,Type
К.И.О. Кондитерское Объединение,"Печенье ""Задумка"" с клубничным кремом со сливками","Biscuits ""Idea"" with strawberry cream",200g,13,4607021099073,Type
К.И.О. Кондитерское Объединение,Печенье сливочное,Butter biscuits,205g,16,4607021095839,Type
К.И.О. Кондитерское Объединение,"Печенье ""Царское чаепитие"" с сахаром","Biscuits ""Royal tea party"" with sugar",285g,15,4607021093668,Type
К.И.О. Кондитерское Объединение,"Печенье ""Телочка Му"" со сгущенным молоком",Biscuits with condensed milk,300g,13,4640013230559,Type
К.И.О. Кондитерское Объединение,"Печенье ""А-Б-В-Г-дейка""","Bisuicts ""A-B-C-D"" for kids",300g,17,4640013230528,Type
,ГРИЛЬЯЖ,CANDIED ROASTED NUTS,WEIGHT,"PRICE, DKK",BARCODE,Type
Leon,"Грильяж ""Хорольский""","Candied roasted nuts ""Horolsky""",200g,22,4260127125291,Type
От Маруси,"Грильяж ""Хорольский""","Candied roasted nuts ""Horolsky""",200g,22,4260127125291,Type
,КОЗИНАКИ,GOZINAKI,WEIGHT,"PRICE, DKK",BARCODE,Type
Leon,"Козинак""Ассорти с миндалем""",Assorted gozinaki with almond,150g,22,4932079015011,Type
От Маруси,Козинаки,Gozinaki,175g,22,4260127125826,Type
От Маруси,"Козинак ""Ассорти с миндалем""",Assorted gozinaki with almond,150g,22,4932079015011,Type
,ЩЕРБЕТ,SHERBET,WEIGHT,"PRICE, DKK",BARCODE,Type
Тимоша,Щербет молочно-ореховый,Milk scherbet with nuts,250g,19,4607132822768,Type
,СЛАДКАЯ КУКУРУЗА,SWEET CORN (CARAMELIZED),WEIGHT,"PRICE, DKK",BARCODE,Type
От Маруси,"Сладкая, воздушная кукуруза",Sweet caramelized corn,100g,10,4260127125468,Type
,КУКУРУЗНЫЕ ПАЛОЧКИ,SWEET CORN STICKS,WEIGHT,"PRICE, DKK",BARCODE,Type
Эссен-Агро,"Кукурузные палочки ""Кукурузинка"" со вкусом сгущенного молока","Corn sticks ""Kukuruzinka"" with condensed milk taste",140g,11,4604248006730,Type
Сладкая страна,"Кукурузные палочки ""Молочные""","Corn sticks ""Milky""",180g,20,4033443822133,Type
,ШОКОЛАД,CHOCOLATE,WEIGHT,PRICE,BARCODE,Type
Daisena,Белый шоколад “Schogetten”,"White chocolate ""Schogetten""",100g,12,4000415856601,Type
Daisena,Альпийский молочный шоколад с лесными орехами,Alpine milk chocolate with hazelnuts,100g,12,4000607851001,Type
,КОНФЕТЫ,SWEETS,WEIGHT,PRICE,BARCODE,Type
Кондитерслая фаб. Микаелло,Груша с миндалём в бело- тёмном шоколадой глазури,Pear with almonds in white-dark chocolate glaze,3 kg,135,4607033690510,Type
Кондитерслая фаб. Микаелло,Чернослив в шоколадой глазури,Prune in chocolate glaze,3 kg,135,4607033690091,Type
Кондитерслая фаб. Микаелло,Чернослив с миндалём в шоколадой глазури,Prune with almonds in chocolate glaze,3 kg,135,4607033690077,Type
Кондитерслая фаб. Микаелло,Чернослив с лесным орехом в шоколадой глазури,Prune with nuts in chocolate glaze,3 kg,135,,Type
Кондитерслая фаб. Микаелло,Финик с грецким орехом в бело-темной шоколадной глазури,Date with walnuts in white and dark chocolate glaze,3 kg,135,4607033690503,Type
Кондитерслая фаб. Микаелло,Абрикос в шоколадной глазури,Apricot in chocolate glaze,3 kg,135,4607033690046,Type
Кондитерслая фаб. Микаелло,Инжир с грецким орехом в бело- темной шоколадной глазури,Fig with walnuts in a white-dark chocolate glazed,3 kg,135,4607033690275,Type
Кондитерслая фаб. Микаелло,Клюква в шоколадной глазури,Cranberry in chocolate glaze,3 kg,135,,Type
Кондитерслая фаб. Микаелло,Дыня в шоколадной глазури,Melon in chocolate glaze,3 kg,135,,Type
Кондитерслая фаб. Микаелло,Персик в бело- темной шоколадной глазури,Peach in white-dark chocolate glaze,3 kg,135,,Type
Кондитерслая фаб. Славянка,"Конфеты вафельные ""Топленое молоко""","Wafery glazed sweets ""Baked Milk""",1 kg,100,4605142020570,Type
Финтур,"Конфеты ""Царская птица""","Sweets ""Royal bird""",3 kg,100,,Type
Доминик,"Конфеты ""А-ля суфле!""","Sweets ""A la sufle""",3 kg,100,,Type
,"Конфеты ""Пилот""","Sweets ""Pilot""",3 kg,100,,Type
,"Конфеты ""Подарок от белочки""","Sweets ""Present from squirrel""",3 kg,100,,Type
,НАБОР КОНФЕТ,COLLECTION OF SWEETS,WEIGHT,PRICE,BARCODE,Type
"ЗАТ ""одессаКондитер""","Эксклюзивная коллекция шоколадных конфет ""Сладкая сказка""","Exclusive collection of chocolate sweets ""Sweet Fairytale""",675g,100,4823007009434,Type
Laima,"Конфеты ассорти в темном шоколаде ""Гордость Москвы""","Assorted Candies in dark chocolate, ""Pride of Moscow""",360g,60,4750001817058,Type
Laima,"Конфеты ассорти в темном шоколаде ""Москва Златоглавая""","Assorted Candies in dark chocolate ""Moscow Zlatoglavaya""",360g,60,4750001008043,Type
Доминик,"Конфеты ""Белочка с золотым орешком""","Sweets ""Squirrel with golden nuts""",150g,20,4823055511255,Type
РотФронт,"Конфеты ассорти ""Подмосковные Вечера""","Assorted Chocolates ""Moscow Nights""",200g,45,4600300080762,Type
,"Набор конфет ""Русь- тройка""","Set candy ""Russia go troika""",350g,65,4600300002290,Type
,ЗЕФИР,ZEPHYR,WEIGHT,PRICE,BARCODE,Type
Пензенская Кондитерская Фабрика,"Зефир ""Обожайка"" в шоколадной глазури","Zephyr ""Obozhayka"" in chocolate glaze",200g,22,4601021048550,Type
Makro Trade Baltic,Зефир с ванильным вкусом,Zephyr with vanilla flavor,250g,22,4751008660135,Type
Белевские сладости,"Зефир ""Белёвский"" яблочный",Apple zephyr,250g,25,4612737280523,Type
Белевские сладости,"Зефир ""Белёвский"" груша",Pear zephyr,250g,25,4612737280547,Type
Кружева Вологды,Зефир сливочный,Cream zephyr,530g,36,4260010129733,Type
Кружева Вологды,Зефир бело-розовый,White-pink zephyr,260g,19,4260010129719,Type
Кружева Вологды,Зефир ванильный,Vanilla zephyr,260g,19,4260010129689,Type
,ХАЛВА,HALVA,WEIGHT,PRICE,BARCODE,Type
Дружковская халва,Халва ванильная подсолнечная,Vanilla sunflower halva,200g,25,4820046910875,Type
Дружковская халва,Халва с какао подсолнечная,Sunflower halva with cocoa,200g,25,4820046910752,Type
,ПИРОГИ/ ТОРТЫ,CAKES,WEIGHT,PRICE,BARCODE,Type
Родные простоыры,Пирожное Лакомый медовичок,Honey cake,330g,29,4260130030193,Type
Красный Октябрь,"Торт вафельный Алёнка с мягким сливочным вкусом, покрытый глазурью","Waffle cake ""Alenka"" with a mild creamy taste, glazed",250g,25,4607144730013,Type
,КОРЖИ ДЛЯ ТОРТОВ,LAYERS FOR CAKES,WEIGHT,PRICE,BARCODE,Type
Merci,Коржи для торта Наполеон,Layers for Napoleon cake,400g,27,4820080570035,Type
Merci,Коржи для торта Медовик,Layers for honey cake,500g,27,4820080570196,Type
Merci,"Коржи для торта ""Киевский""","Layers for cake ""Kievskij""",450g,37,4820080570172,Type
,ВАФЕЛЬНЫЕ ЛИСТЫ,WAFFLE SHEETS,WEIGHT,DKK,BARCODE,Type
Franzeluta,Листы вафельные,Waffle sheets,700g,39,4840008014618,Type
SNACKS,,,,,,Type
,СЕМЕЧКИ,SEEDS,WEIGHT,PRICE,BARCODE,Type
КДВ Краснодар,Бабкины семечки,"Sunflower seeds ""Бабкины""",500g,38,4605362007023,Type
КДВ Краснодар,Бабкины семечки,"Sunflower seeds ""Бабкины""",450g,35,4605362006217,Type
Барин,Жареные семечки подсолнечника – соленые,"Roasted, Salted sunflower seeds",280g,25,4612663500153,Type
Барин,Жареные семечки подсолнечника,Roasted sunflower seeds,280g,25,4612663500108,Type
"KochSnack'""s",Семечки жареные,Roasted sunflower seeds,300g,25,4250459500361,Type
,Семечки Царские жареные,Roasted sunflower seeds,500g,55,4820147570077,Type
,Семечки жареные по-домашнему,Roasted sunflower seeds (homestyle),350g,25,4260010128675,Type
,"Тыквенные семечки От Маруси жареные, солёные ","Roasted pumpkin seeds, salted",250g,30,4260127124911,Type
Мартин,"Семечки ""От Мартина"" отборные","Семечки отборные ""От Мартина""",100g,15,4607012350992,Type
Мартин,"Семечки ""От Мартина"" отборные","Семечки отборные ""От Мартина""",200g,25,4607012351005,Type
Мартин,"Семечки ""От Мартина"" отборные с морской солью","Семечки ""От Мартина"" отборные с морской солью",200g,25,4607012351999,Type
Ваш Продукт,"Жаренные, очищенные семечки ""Ядро подсолнуха""","Roasted, peeled sunflower seeds ""Sunflower kernel""",200g,10,4260352190903,Type
Ваш Продукт,"Жаренные, очищенные семечки ""Ядро подсолнуха"" с солью","Roasted, peeled sunflower seeds ""Sunflower kernel"" with salt",200g,11,4260352190910,Type
,СУХАРИКИ,BAKED BREAD SNACKS,WEIGHT,PRICE,BARCODE,Type
Кириешки,MAX – охотничьи колбаски,Baked bread snack with hunter`s sausages taste,40g,7,4607010748616,Type
Кириешки,LIGHT – Сливочный сыр,Baked bread snack with creamy cheese taste,33g,7,4607120852470,Type
Кириешки,Холодец с хреном,Baked bread snack with aspic and horseradish taste,40g,7,4607010742027,Type
Кириешки,Ветчина с сыром,Baked bread snack with ham and cheese taste,40g,7,4607010740078,Type
Кириешки,Салями,Baked bread snack with salami taste,40g,7,4607010740191,Type
Кириешки,Бекон,Baked bread snack with bacon taste,40g,7,4607010740016,Type
Компашки,Сметана и лук,Baked bread snack with sour cream and onion taste,35g,7,4607120858328,Type
Flint,Сухарики пшенично-пжаные со вкусом сыра,Baked bread snacks with cheese taste,35g,6,4820047462236,Type
Flint,Сухарики пшенично-пжаные со вкусом бекона,Baked bread snacks with bacon taste,35g,6,4820047462212,Type
Flint,Сухарики пшенично-пжаные со вкусом салями,Baked bread snacks with salami taste,35g,6,4820047462168,Type
GROCERY,,,,,,Type
