,,,,,,
SWEET PRODUCTS,,,,,,
Тещины рецепты,Грибное ассорти маринованное,Assorted marinated mushrooms,500g,29,4260099273341,Type
Тещины рецепты,Грибы белые маринованные,Canned white mushrooms,280g,17,4260099273303,Type
Сосновый Бор,Белый гриб боровик,Boletus,580ml,29,6907992503073,Type
Сосновый Бор,Белый гриб боровик в чесночно лавровом засоле,Boletus in garlic-bay leaf brine,580ml,29,6907992503066,Type
Сосновый Бор,Опята в солёно- лавровом засоле,Honey mushrooms in salty-bay leaf brine,530g,29,6907992503035,Type
Сосновый Бор,Опята малосольные без уксуса,"Fresh salted honey mushrooms, without vinegar",530g,29,6907992503028,Type
Сосновый Бор,Ассорти в чесночно- лавровом засоле,Assorted mushrooms in garlic-bay leaf brine,530g,29,6907992502915,Type
Leon,Шиитаке соленые,Sakted shiitake,530g,30,5905643071668,Type
,ОВОШИ,VEGETABLES,WEIGHT,PRICE,BARCODE,Type
Тещины рецепты,Жареные баклажаны с овощами по болгарски,"Roasted Aubergines with vegetables, Bulgarian style",540g,28,4260099272429,Type
Тещины рецепты,Щавель консервированный,Canned sorrel,350g,17,4260099272221,Type
Тещины рецепты,"Ассорти из моркови, горошка и кукурузы","Assorted carrots, peas and corn",480g,18,4260099272924,Type
Тещины рецепты,Консервированная петрушка,Canned parsley,180g,12,4260099272207,Type
Тещины рецепты,Перец маринованный,Marinated pepper,850g,25,4260099272795,Type
Тещины рецепты,Морковь по корейски,"Carrot, Korean style",460g,18,4260099272320,Type
Ecohoff,Корейская морковь,"Carrot, Korean style",460g,18,4260130030254,Type
Art Leon,Корейская морковь,"Carrot, Korean style",500g,15,,Type
Storko,Кабачки в аджике,Courgettes in adzhika,540g,35,3800721005448,Type
Storko,Баклажаны с овошами,Eggplant with vegetables,540g,35,3800721004403,Type
Storko,Баклажаны в томатном соусе,Eggplant in tomato sauce,540g,35,3800721004212,Type
Тещины рецепты,Баклажаны пикантные по-кавказски,"Savory eggplant, Caucaisian style",540g,28,4260099272580,Type
Bazar Balkan,Баклажаны с черносливом,Eggplant with prune,530g,35,3800026116634,Type
Leon GmbH,Баклажан с черносливом,Eggplant with prune,540g,35,3800026115866,Type
Todorka,Баклажаны по-грузински острые,"Savory eggplant, Georgian style",560g,25,3800740011789,Type
Todorka,Баклажаны по-гречески,"Eggplant, Greek style",560g,25,3800740011796,Type
Todorka,Баклажан жареный с черносливом,Roasted eggplant with prune,560g,25,3800740022440,Type
Todorka,Баклажаны жаренные со сладким перцем Княжеское блюдо,Roasted eggplant with sweet pepper,560g,25,3800023601058,Type
Todorka,Баклажаны жаренные с овощами Царская закуска,Roasted eggplant with vegetables,560g,25,3800023601041,Type
Todorka,Баклажаны с овощами,Eggplant with vegetables,560g,25,3800740012410,Type
Скатерть самобранка,Черемша маринованная,Marinated ramson,330g,30,4260127124027,Type
От Маруси,Черемша маринованная с чесноком,Marinated ramson with garlic,370g,22,4260127124034,Type
,ОЛИВКИ,OLIVES,WEIGHT,PRICE,BARCODE,Type
Latrovalis,"Греческие оливки зеленые в рассоле, пастеризованные ",Greek green olives in brine,400g,29,5204403218016,Type
Latrovalis,"Греческие черные оливки в рассоле, стеризованные ",Greek black olives in brine,400g,20,5204403618908,Type
Latrovalis,"Греческие черные оливки в рассоле, стеризованные ",Greek black olives in brine,200g,16,5204403619011,Type
,ГОТОВЫЕ САЛАТЫ,PREPARED SALADS,WEIGHT,PRICE,BARCODE,Type
Тещины рецепты,Салат Оливье минутка,"Salad ""Olivje""",680g,18,4260099272337,Type
,ГОТОВЫЕ БЛЮДА,PREPARED DISH,WEIGHT,PRICE,BARCODE,Type
Leon,Гречневая каша с грибами,Buchwheat with mushrooms,460g,18,5901008044735,Type
,ОВОШНАЯ ИКРА,VEGETABLE CAVIAR,WEIGHT,PRICE,BARCODE,Type
Storko,Икра из красного болгарского перца,Red Bulgarian pepper caviar,360g,17,3800721000429,Type
Storko,Икра баклажанная,Eggplant caviar,350g,17,3800721004540,Type
Тещины рецепты,Икра кабачковая домашняя,Homemade squash caviar,460g,18,4260099272443,Type
Господарочка,Икра из кабачков Летняя,Squash caviar,475g,22,4820024791465,Type
Господарочка,Икра баклажанная,Eggplant caviar,445g,22,4820024797535,Type
Todorka,Баклажанная икра,Eggplant caviar,560g,20,3800740011772,Type
Todorka,Кабачковая икра,Squash caviar,560g,20,3800740011765,Type
,КРУПА ГРЕЧНЕВАЯ,BUCKWHEAT,WEIGHT,PRICE,BARCODE,Type
Aldim Gmbh,"Крупа гречневая, ядрица",Buckwheat,800g,33,4260099271040,Type
Aldim Gmbh,"Крупа гречневая, особенная","Buckwheat ""Special""",1 kg,33,4260099271026,Type
Воложка,"Гречка в пакетиках ""Варим парим на радость"" (5x80г)",Buchwheat in packs (5x80g),400g,19,4607070080572,Type
Воложка,Гречневая крупа,Buchwheat,800g,20,4607070080411,Type
Царь,Крупа гречневая,Buchwheat,800g,25,4603134002184,Type
Царь,Крупа гречневая (8x62.5г),Buchwheat (8x62.5g),500g,25,4603134002498,Type
Белоцерковские крупы,"Крупа гречневая, ядрица отборная (5x80г)",Buchwheat (5x80g),400g,19,4260099271064,Type
,КРУПА/ ПШЕНО,GROATS/ MILLET,WEIGHT,PRICE,BARCODE,Type
Царь,Крупа Ячневая,Barley groats,800g,25,4603134003174,Type
Воложка,Кукурузная крупа,Corn grits,700g,15,4607070080817,Type
Царь,Пшено Шлифованное,Polished millet,800g,20,4603134002801,Type
Еврозлат,Пшено Шлифованное,Polished millet,750g,17,4607114150179,Type
Белоцерковские Крупы,Пшено,Millet,800g,20,4260099270173,Type
Natur-produkt,Пшено,Millet,800g,21,4260130030674,Type
,ОТРУБИ,BRAN,WEIGHT,PRICE,BARCODE,Type
ОГО,Отруби бородинские,Bran,200g,18,4630012080491,Type
,ЕДА БЫСТРОГО ПРИГОТОВЛЕНИЯ,FAST FOOD,WEIGHT,PRICE,BARCODE,Type
БиоФуд,Картофельное пюре с соусом с говядиной Биг Ланч,"Mashed potatoes ""Big lunch"" with beef sauce",50g,12,4607160451008,Type
БиоФуд,Картофельное пюре с соусом с курицей Биг Ланч,"Mashed potatoes ""Big lunch"" with chicken sauce",50g,12,4607160450995,Type
БиоФуд,Картофельное пюре с соусом с луком и гренками Биг Ланч,"Mashed potatoes ""Big lunch"" with onion  sauce and toasts",50g,12,4607160451015,Type
БиоФуд,"Лапша со  свининой, чесноком и перцем","Noodles with pork, garlic and pepper",90g,15,4607160450032,Type
БиоФуд,"Лапша с ароматной говядиной, грибами и зеленью","Noodles with fragrant beef, mushrooms and herbs",90g,15,4607160450025,Type
Ролтон,Вермишель с курицей,Noodles with chicken,60g,5,4605496007494,Type
Ролтон,Вермишель с говядиной,Noodles with beef,60g,5,4605496007517,Type
,ПОДСОЛНЕЧНОЕ МАСЛО,SUNFLOWER OIL,WEIGHT,PRICE,BARCODE,Type
Дары Кубани,Масло подсолнечное нерафинированное,Unrefined sunflower oil,0.65l,22,4607014782036,Type
Премиум продукт,Подсолнечное масло Золота рафинированное,"Sunflower oil ""Gold"", refined",920g,20,4820078570702,Type
Гранд- Стар,"Подсолнечное масло Кубаночка, ароматное нерафинированное вымороженное","Sunflower oil ""Kubanochka"", fragrat unrefined frozen out",1 l,27,4607029050373,Type
Укролия,Подсолнечное масло Диканька нерафинированное,"Sunflower oil ""Dikanka"", unrefined ",1 l,30,4820077081940,Type
,СОУСЫ,SAUCES,WEIGHT,PRICE,BARCODE,Type
Тещины рецепты,Соус Краснодарский домашний,Homemade tomato sauce,300g,16,4260099272085,Type
Тещины рецепты,Соус Кухарский,"Sauce ""Kukharskij""",300g,16,4260099272078,Type
Русский Стиль,Соус Грузинский,"Sauce ""Georgian""",300g,16,5901008045220,Type
Leon,"Соус Шашлычный, фирменный ",Sauce for shashlyk,485g,20,4820015943804,Type
H&B,Хреновина соус острый с хреном,Hot tomatoe sauce with horseradish,300g,16,4260010122262,Type
Kedainiu konservai,Хреновина томатный соус острый с хреном,Hot tomatoe sauce with horseradish,300g,15,4770583213840,Type
Чумак,Соус Херсонський,"Sauce ""Hersonskij""",500g,20,4820001356298,Type
Чумак,Соус Кухарський,"Sauce ""Kukharskij""",500g,15,4820001354409,Type
Чумак,Соус Козацький з хроном,"Sauce ""Kazackij"" with horseradish",200g,10,4820156765709,Type
Чумак,Соус Грузинський до мяса,"Sauce ""Georgian"" for meat",220g,16,4820001355383,Type
Чумак,Соус Французький з гирчицею,"Sauce ""French"" with horseradish",200g,10,4820001354140,Type
Едим дома,Соус Сацебели,"Sauce ""Sacebeli""",485g,20,4820015946980,Type
,МАЙОНЕЗ,MAYONNAISE,WEIGHT,PRICE,BARCODE,Type
Ильинский,Майонез классический,Classic mayonnaise,800ml,20,4683875202487,Type
Ильинский,Майонез оливковый,Olive mayonnaise,400ml,19,4683875202432,Type
Махеевъ,Майонез провансаль,"Mayonnaise ""Provencal""",770g,37,4604248002664,Type
Махеевъ,Майонез провансаль,"Mayonnaise ""Provencal""",380g,20,4604248000196,Type
Махеевъ,Майонез с перепелиным яйцом,Mayonnaise with quail eggs,380g,23,4604248003081,Type
Махеевъ,Майонез оливковый,Olive mayonnaise,400ml,20,4604248000844,Type
Махеевъ,Майонез сметанный,Sour cream mayonnaise,770g,37,4604248014124,Type
Махеевъ,"Майонез ""Легкий"" с лимонным соком","Mayonnaise ""Light"" with lemon juice",390g,20,4604248002817,Type
Махеевъ,Майонез салатный,Mayounnaise for salads,780g,37,4604248002718,Type
,КЕТЧУП/ ТОМАТНАЯ ПАСТА,KETCHUP/ TOMATOE PUREE,WEIGHT,PRICE,BARCODE,Type
Чумак,Кетчуп томатный,Tomato ketchup,300g,10,4820001352979,Type
Чумак,Кетчуп томатный,Tomato ketchup,450g,15,4820001357936,Type
Чумак,Кетчуп чили,Spicy ketchup,300g,10,4820001355840,Type
Чумак,"Паста томатна, 25%","Tomatoe puree, 25% ",70g,6,4820001352801,Type
,АДЖИКА,ADJIKA,WEIGHT,PRICE,BARCODE,Type
Тещины рецепты,Аджика пикантная,Savory adjika,300g,16,4260099272016,Type
Тещины рецепты,Аджика острая с чесноком,Spicy adjika with garlic,300g,16,4260099272030,Type
H&B,Аджика домашняя,Homemade adjika,550g,39,4260010127982,Type
Deroni,Аджика домашняя,Homemade adjika,350g,16,3800740011116,Type
,ХРЕН,HORSERADISH,WEIGHT,PRICE,BARCODE,Type
Махеевь,Хрен столовый,Table horseradish,190g,12,4604248012601,Type
Тещины рецепты,Хрен с красной свеклой,Horseradish with beetroot,180g,12,4260099272047,Type
H&B,Хрен со свеклой,Horseradish with beetroot,180g,12,5906245444546,Type
H&B,Хрен крепкий,"Horseradish, strong",180g,12,5906245444539,Type
,ЛЕЧО,LECHO,WEIGHT,PRICE,BARCODE,Type
Сядко,Лечо по болгарски,Bulgarian lecho,680g,18,4260305240198,Type
,ПРИПРАВА,SEASONING,WEIGHT,PRICE,BARCODE,Type
Avokado,Приправа Азербайджанская,Azerbaijan seasoning,210g,22,8595012061184,Type
Avokado,Приправа для шашлыка,Seasoning for shashlik,179g,22,8595012061160,Type
Avokado,Приправа Грузинская,Georgian seasoning,170g,22,8595012061191,Type
Avokado,Приправа Армянская,Armenian seasoning,170g,22,8595012061177,Type
Avokado,Приправа для рыбы,Seasoning for fish,200g,22,8595012061061,Type
Avokado,Приправа аппетитная,Appetizing seasoning,220g,22,8595012061122,Type
Avokado,Приправа Узбекская,Uzbek seasoning,200g,20,4008337734700,Type
Avokado,Приправа Татарская,Tatar seasoning,25g,5,8595012066714,Type
Avokado,Приправа Аджика,Adzhika seasoning,25g,5,8595012077154,Type
Avokado,Приправа Хмели-сунели,Hops-suneli seasoning,25g,5,8595012006024,Type
Avokado,Приправа грибная,Mushroom seasoning,25g,5,8595012003344,Type
Alex produkte,Лавровый лист,Bay leaf,50g,15,40100630,Type
Alex produkte,Кинза сушёная,Dried cilantro,30g,12,40120171,Type
Alex produkte,Кинза кориандер целый,"Cilantro coriander, whole",100g,12,40120140,Type
Alex produkte,Имбирь,Ginger,75g,15,40500850,Type
Alex produkte,Чиа семена,Chia seeds,200g,39,40500935,Type
Alex produkte,"Перец душистый, горошек","Allspice, peas",50g,15,40000251,Type
Alex produkte,Чеснок гранулированный,Granulated garlic,50g,12,40100579,Type
Alex produkte,Чабрец садовый,Garden thyme,50g,15,40100692,Type
Alex produkte,Черемша Джусай,Ramson Dzhusay,30g,20,41100691,Type
Alex produkte,Корица молотая,Powered cinnamon,100g,20,40101200,Type
Alex produkte,Хмели сунели,Hops suneli,75g,12,40880624,Type
Alex produkte,Тмин чёрный цельный,Cumin black solid,75g,15,40193403,Type
Alex produkte,Мята перечная,Peppermint,50g,15,40500058,Type
Alex produkte,Вегета универсальная приправа,Vegeta universal seasoning,250g,20,40103327,Type
Alex produkte,Приправа для малосольных огурчиков,Seasoning for pickled cucumbers,50g,15,40500317,Type
Alex produkte,Приправа для жарки рыбы,Seasoning for frying fish,100g,15,40990644,Type
Alex produkte,Приправа для плова,Seasoning for plov,100g,15,40133935,Type
Alex produkte,Крапива двудомная,Urtica dioca,50g,15,40500478,Type
Aroma bona,Семечки подсолнуха (очищеные),Sunflower Seeds (peeled),500g,20,4779022488856,Type
Aroma bona,Приправа для пельменей,Seasoning for ravioli,25g,5,4779022481130,Type
Aroma bona,Приправа для борща,Seasoning for borsch,25g,5,4779022482960,Type
Aroma bona,Приправа для плова,Seasoning for pilaf,25g,5,4779022481093,Type
Aroma bona,Приправа для моркови по-корейски,Seasoning for carrot in Korean,25g,5,4779022480959,Type
Виртекс,"Корейская заправка ""Чим чим"" для спаржи","Korean seasoning ""chim chim"" for asparagus",60g,11,4607044605916,Type
Anatols,Приправа для шашлыков,Shashlik seasoning,20g,5,4750280206000,Type
Беларуськалий,Соль каменная поваренная пищевая,Common edible rock salt,1kg,9,4811005000201,Type
Мозырьсоль,Соль поваренная пищевая,Table salt,1kg,9,4810023000149,Type
Мозырьсоль,Соль йодированная поваренная пищевая,Iodized salt,1kg,9,4810023000156,Type
,ЧАЙ/ КОФЕ,TEA/ COFFEE,WEIGHT,PRICE,BARCODE,Type
Майский,"Чай ""Отборный Цейлон""","Tea 'Choice Ceylon """,100g,29,4607051151321,Type
Майский,"Чай ""Отборный Цейлон""","Tea 'Choice Ceylon """,50g,18,4607051151345,Type
Майский,"Чай ""Отборный Цейлон"" (25 пакетиков)","Tea 'Choice Ceylon "" (25 pcs)",50g,18,4607051151345,Type
Букет Цейлона,"Чай ""Цейлонский"" (25 пакетиков)","Tea ""Ceylon"" (25 psc)",50g,18,4260196030809,Type
Принцесса Нури,"Чай ""Высокогорый"" листовый","Tea ""Highlands"" sheet",250g,28,4605246002441,Type
Принцесса Нури,Чай Высокогорный (в пакетиках),Highland Tea (in tea bags),200g,45,4605246002014,Type
Принцесса Нури,Чай отборный,Tea choice,200g,45,4605246003271,Type
Принцесса Ява,"Чай ""Жасмин"".Китайский зелёный чай с ароматом жасмина","Tea ""Jasmine"". Chinese green tea with jasmine",100g,20,4605246001888,Type
Seve,Растворимый цикорий с черникой (порошок),Soluble chicory with bilberry (powder),100g,30,4740506100380,Type
Здравко,Натуральный растворимый Цикорий,Natural soluble chicory,100g,12,4610009000657,Type
,СГУШЁННОЕ МОЛОКО,CONDENSED MILK,WEIGHT,PRICE,BARCODE,Type
Ваш продукт,Молоко сгушённое варёное,Boiled condensed milk,397g,22,4260352190507,Type
,Молоко сгушённое,Condensed milk,397g,17,4260244871224,Type
,Молоко сгущенное цельное Ромашка,Condensed milk,397g,17,5906245444676,Type
Leon GmbH,"Молоко сгущенное ""Леонка"" цельное с сахаром","Condensed milk ""Leonka"" with sugar",397g,20,4260127122283,Type
Leon GmbH,"Молоко сгущенное ""Леонка"" со вкусом кофе","Condensed milk ""Leonka"" with coffee taste",397g,22,4770209042199,Type
Leon GmbH,"Молоко сгущенное ""Леонка"" с сахаром и какао","Condensed milk ""Leonka"" with sugar and cocoa taste",397g,22,4770209042205,Type
Ностальгия,Карамелизированный сгущенный молочный продукт с сахаром,Caramelized condensed milk products with sugar,397g,17,4771173209458,Type
,Сгущенка,Condensed milk,250g,15,4740502002176,Type
,Сгущенное молоко с сахаром и какао,Condensed milk with sugar and cocoa,250g,17,4740502020392,Type
,Сгущенное молоко с сахаром,Sweetened condensed milk,250g,15,4740502002084,Type
,СЛИВКИ,CREAM,WEIGHT,"PRICE, DKK",BARCODE,Type
,"Сливки ""Коровка"" сгущенные с сахаром, 19%","Condensed cream ""Cow"" with sugar, 19%",360g,17,4602358001003,Type
,ВАРЕНЬЕ/ ДЖЕМ,JAM,WEIGHT,PRICE,BARCODE,Type
Тещины рецепты,Варенье из клубники домашнее,Homemade strawberry jam,340g,20,4260099275567,Type
Ратибор,Варенье клюква,Cranberry jam,400g,29,4601842001994,Type
От Маруси,Варенье из зеленых грецких орехов,Jam made from green walnuts,680g,39,4840022002288,Type
ALCOHOL DRINKS,,,,,,Type
,ПИВО,BEER (pant price is NOT included),LITERS,PRICE,BARCODE,Type
Baltika Breweries,"Пиво BALTIKA Lager No 2, 4,7% алк","Beer BALTIKA Lager No 2, 4,7% alc",500ml,12,4600682511755,Type
Baltika Breweries,"Пиво BALTIKA Classic No 3, 4,8% алк","Beer BALTIKA Classic No 3, 4,8% alc",500ml,12,4600682000037,Type
Baltika Breweries,"Пиво BALTIKA Original No 4, 5,6% алк","Beer BALTIKA Original 4, 5,6% alc",500ml,12,4600682000044,Type
Baltika Breweries,"Пиво BALTICA Golden Lager No 5, 5,3% алк","Beer BALTIKA Golden Lager No 5, 5,3% alc",500ml,12,4600682011507,Type
Baltika Breweries,"Пиво BALTIKA Export Lager No 7 5,4% алк","Beer BALTIKA Export Lager 7 5,4% alc",500ml,12,4600682511014,Type
Baltika Breweries,"Пиво BALTIKA EXPORT NO 7 5,4% алк","Beer BALTIKA EXPORT NO 7 5,4% alc",1l,17,4600682001522,Type
,ВОДКА,VODKA,LITERS,PRICE,BARCODE,Type
Белалко,Водка Дикая Утка Особая (Wild Duck Vodka – special),"Vodka ""Дикая Утка Особая"" (""Wild Duck Special"")","0,7l",150,4810030009500,Type
Белалко,Водка Дикая Утка (Wild Duck Vodka),"Vodka ""Дикая Утка"" (""Wild Duck"")","0,7l",140,4810030009494,Type
,Водка Русский Стандарт Platinum (Russian Standard Vodka – Platinum),"Vodka ""Русский Стандарт Platinum"" (""Russian Standart Platinum"")","0,7l",150,4603400000180,Type
,Водка Русский Стандарт Gold (Russian Standard Vodka – Gold),"Vodka ""Русский Стандарт Gold"" (""Russian Standart Gold"")","0,7l",135,4603400001026,Type
,Водка Русский Стандарт,"Vodka ""Русский Стандарт""",0.7l,125,4603400000043,Type
Topaz Distillery,Водка Зелёная Марка (Green Mark Vodka),"Vodka ""Зелёная Марка"" (""Green Mark Vodka"")","1,0l",150,4600893900812,Type
,БРЕНДИ,BRANDY,LITERS,PRICE,BARCODE,Type
Yerevan Brandy Company,Бренди ARARAT 3-ёхлетний,Ararat – 3 years,"0,5l",140,4850001001904,Type
Yerevan Brandy Company,Бренди ARARAT 5-илетний,Ararat – 5 years,"0,5l",150,4850001001935,Type
Yerevan Brandy Company,Бренди ARARAT 6-илетний,Ararat – 6 years,"0,5l",160,4850001001966,Type
Yerevan Brandy Company,Бренди ARARAT 10-илетний,Ararat – 10 years,"0,5l",200,4850001002024,Type
Yerevan Brandy Company,Бренди ARARAT 10-илетний Reserve,Ararat – 10 years Reserve,0.5l,799,,Type
Yerevan Brandy Company,Бренди ARARAT 20-илетний,Ararat – 20 years,0.5l,499,,Type
,ВИНО (КРАСНОЕ),WINE (RED),LITERS,PRICE,BARCODE,Type
Armenia,"Красное вино, сухое, 2011, 12.5% алк (Армения)","Red wine, dry,  2011, 12.5% alc (Armenia)",0.75,85,4850008150094,Type
Armenia,"Красное гранатовое вино, полу-сладкое, 11,5% алк (Армения)","Red pomegranate wine, semi-dry, 11,5% alc",0.75,85,4850008150995,Type
Marani,"Красное вино Kindzmarauli, 2014, 11.5% алк (Грузия)","Red wine Kindzmarauli, 2014, 11.5% alc (Georgia)",0.75,89,4867616020091,Type
Marani,"Красное вино Saperavi, сухое, 13.5% алк (Грузия)","Red wine Saperavi, dry, 13.5% alc (Georgia)",0.75,72,4867616020053,Type
Marani,"Красное вино Telavuri, сухое, 12.5% алк (Грузия)","Red wine Telavuri, dry, 12.5% alc (Georgia)",0.75,59,4867616060400,Type
Marani,"Красное вино Saperavi, сухое, 14.5% алк (Грузия)","Red wine Saperavi, dry, 14.5% alc (Georgia)",0.75,89,4867616020657,Type
Marani,"Красное вино Telavuri, полу-сухое, 12% алк (Грузия)","Red wine Telavuri, semi-dry, 12% alc (Georgia)",0.75,59,4867616060417,Type
Marani,"Красное вино Khvanchkara, полу- сладкое, 2014, 11.5% алк (Грузия)","Red wine Khvanchkara, medium sweet, 2014, 11.5% alc (Georgia)",0.75,89,4867616020244,Type
Marani,"Красное вино Telavuri, полу-сладкое, 11,5% алк (Грузия)","Red wine Telavuri, semi-sweet, 11,5% alc (Georgia)",0.75,59,4867616060424,Type
Telavi Wine Cellar,"Красное вино Satrapezo saperavi, сухое, 2013, 14.5% алк (Грузия)",,0.75,189,4867616080347,Type
,ВИНО (РОЗОВОЕ),WINE (ROSE),LITERS,PRICE,BARCODE,Type
Armenia,"Розовое вино Selected, сухое, 2010, 12,5% алк (Армения)","Rose wine Selected, dry, 2010, 12,5% alc (Armenia)",0.75,85,4850008150384,Type
Marani,"Розовое вино Saperavi Rose, сухое, 12.5% алк (Грузия)","Rose wine Saperavi Rose, dry, 12.5% alc (Georgia)",0.75,75,4867616020343,Type
,ВИНО (БЕЛОЕ),WINE (WHITE),LITERS,PRICE,BARCODE,Type
Armenia,"Белое вино, сухое, 2012, 14% алк (Армения)","White wine, dry, 2012, 14% alc (Armenia)",0.75,85,4850008150100,Type
Marani,"Белое вино Telavuri, полу-сладкое, 11,5% алк (Грузия)","White wine, semi-sweet, 11,5% alc (Georgia)",0.75,57,4867616060394,Type
Marani,"Белое вино Kondoli Mtsvane- kisi, 2013, 13.5% алк (Грузия)","White wine Kondolo Mtsvane- kisi, 2013, 13.5% alc (Georgia)",0.75,95,4867616100045,Type
Marani,"Белое вино Tbilisuri, полу-сухое, 12% алк (Грузия)","White wine, semi-dry, 12% (Georgia)",0.75,65,4867616020039,Type
Marani,"Белое вино Telavuri, полу-сухое, 12% алк (Грузия)","White wine Telavuri, semi-dry, 12% alc (Georgia)",0.75,57,4867616060387,Type
Marani,"Белое вино Rkatsiteli, сухое, 12% алк (Грузия)","White wine, dry, 12% alc (Georgia)",0.75,65,4867616020305,Type
Marani,"Белое вино Mtsvane, сухое, 12.5% алк (Грузия)","White wine Mtsvane, dry, 12.5% alc (Georgia)",0.75,65,4867616020220,Type
Marani,"Белое вино Telavuri, сухое, 12.5% алк (Грузия)","White wine Telavuri, dry, 12.5% alc (Georgia)",0.75,57,4867616060370,Type
NON ALCOHOL DRINKS,,,,,,Type
,НАПИТКИ,DRINKS (pant price is NOT included),LITERS,PRICE,BARCODE,Type
Садочок,Яблоко клюква черхоплодная рябина,Apple-Cranberry-Chokeberry juice drink,"0,95l",15,4823063110051,Type
Напитки из Черноголовки,Напиток безалкогольный – Тархун,Soft drink - Tarhun,"1,0l",17,4602441000081,Type
Напитки из Черноголовки,Напиток безалкогольный – Байкал,Soft drink - Baikal,"1,0l",17,4602441000067,Type
Напитки из Черноголовки,Напиток безалкогольный – Дюшец,Soft drink - Dyushets,"1,0l",17,4602441000609,Type
Напитки из Черноголовки,Напиток безалкогольный – Крюшон,Soft drink - Krushon,"1,0l",17,4602441011339,Type
Напитки из Черноголовки,Напиток безалкогольный - лимонад– Буратино,Soft drink- lemonade - Buratino,2l,22,4602441011322,Type
Старый источник,Шиппи со вкусом вишни,"Carbonates water ""Shippi"" with cherry taste",0.5 l,17,4607017095171,Type
,СОК,JUICE,LITERS,PRICE,BARCODE,Type
,Сок гранатовый (азербайджанский гранат),Pomegranate juics (Azerbaijani pomegranate),1 l,35,4620755450040,Type
Эко-Фуд,Берюзовый сок,Birch juice,1 l,27,4820039400109,Type
Смак,Берюзовый сок,Birch juice,1 l,14,4820001470925,Type
,КВАС,KVASS (pant price is NOT included),LITERS,PRICE,BARCODE,Type
Ochakovo,"Квас ""Очаковский"" ",Kvass Ochakovskiy,2 l,27,4600068009043,Type
Ochakovo,"Квас ""Очаковский"" ",Kvass Ochakovskiy,1 L,,4600068009005,Type
BORODINSKIJ,Квас (напиток),Kvass drink,3L,32,4750099523404,Type
BORODINSKIJ,Квас (напиток),Kvass drink,5L,42,4750099523411,Type
GUTTA,"""Rigas"" квас","""Rigas"" kvass","0,5L",11.5,4750009942424,Type
GUTTA,"""Rigas"" квас (напиток)","""Rigas"" kvass (drink)",1.5l,17,4750009913455,Type
CIDO grupa,"Квас ""Livu"" (нефильтрованный)",Livu kvass (unfiltered),1.5L,17,4750132002101,Type
CIDO grupa,Квас,Kvass,"1,5L",17,4750042201441,Type
IĻĢUCIEMS,"Напиток ""Здоровье""","Drink ""Health""","1,5L",17,,Type
IĻĢUCIEMS,Квас,Kvass,500ml,11.5,4750239577717,Type
IĻĢUCIEMS,"Квас ""Iļģuciems""","Kvass ""Iļģuciems""","1,5L",17,4750239577724,Type
ULMAŅLAIKU,Квас,Kvass,"1,5L",15,4750142105137,Type
ULMAŅLAIKU KVASS,Квас,Kvass,568ml,11.5,4750142105281,Type
Švyturys,Квас,Kvass in tin “Salyklo”,0.5,11,4770349225780,Type
Gubernija,Хлебный квас,Bread Kvass in tin,0.5,12,4770395222061,Type
Gubernija,Хлебный квас,Bread Kvass in glass,0.33,11,4770395222047,Type
Gubernija,"Квас ""Rugile""","Kvass ""Rugile"" in plastic bottle ",1.5,17,4770395226694,Type
Gubernija,"Квас ""Rugile""","Kvass ""Rugile"" in plastic bottle",0.75,"12,50",4770395226700,Type
Volfas Engelman,Квас,Kvass,"1,5",17,4770301221621,Type
FROZEN PRODUCTS,,,,,,Type
,ПЕЛЬМЕНИ,DUMPLINGS,WEIGHT,PRICE,BARCODE,Type
Best Time,"Пельмени ""Сибирские""",Siberian dumplings,1000g,57,4250239103645,Type
Best Time,"Пельмени ""Домашние""",Homemade dumplings,1000g,57,4250239103638,Type
UVIC,"Пельмени ""Иван"" казанские без свинины","Kazan dumplings ""Ivan"" without pork",500g,30,4740223001595,Type
UVIC,"Пельмени ""Иван"" рязанские","Ryazan dumplings ""Ivan""",500g,30,4740223001540,Type
UVIC,"Пельмени ""Иван"" полтавские с чесноком","Poltava dumplings ""Ivan"" with garlic",500g,30,4740223001502,Type
UVIC,"Пельмени ""Иван"" рязанские","Ryazan dumplings ""Ivan""",2000 g (2kg),90,4740223001441,Type
JUDEX,"Пельмени ""Сказка""","Dumplings ""Fairy Tale""",800g,45,4770274485235,Type
Judex,"Пельмени с мясом ""Dzūkų"" ","""Dzūkų"" dumplings with meat",400g,27,,Type
Judex,Пельмени с куриным мясом,Dumplings with chicken meat,500g,30,4770274485105,Type
Judex,Пельмени с говядиной,Dumplings stuffed with beef,1 kg,57,4770274194229,Type
Judex,"Пельмени ""Пикантные""",Piquant dumplings,500g,35,,Type
Judex,"Пельмени ""Деревенские"" с мясом",Rustic dumplings stuffed with meat,1 kg,45,4770274193604,Type
Judex,"Пельмени ""Каунас""","Dumplings ""Kaunas""",500g,30,,Type
Judex,"Пельмени ""Дворянские""","Dumplings ""Nobility""",400g,30,,Type
Judex,"Пельмени ""Студент""","Dumplings ""Student's""",1 kg,45,4770274191334,Type
Judex,"Пельмени ""Бабушкины""","Dumplings ""Grandmother's""",300g,22,,Type
Judex,"Пельмени ""Сибирские""","Dumplings ""Siberian""",500g,30,4770274483477,Type
